"region","Time","condition","Value"
"AGR",-200,"a50_ay_ba",-0.0717975880040441
"AGR",-199.1667,"a50_ay_ba",-0.0692110266480124
"AGR",-198.3333,"a50_ay_ba",-0.0668121486617824
"AGR",-197.5,"a50_ay_ba",-0.0646115408324409
"AGR",-196.6667,"a50_ay_ba",-0.0626180209457727
"AGR",-195.8333,"a50_ay_ba",-0.0608387843212139
"AGR",-195,"a50_ay_ba",-0.0592795694857992
"AGR",-194.1667,"a50_ay_ba",-0.0579448345349121
"AGR",-193.3333,"a50_ay_ba",-0.056837935540609
"AGR",-192.5,"a50_ay_ba",-0.0559612984488381
"AGR",-191.6667,"a50_ay_ba",-0.0553165762546349
"AGR",-190.8333,"a50_ay_ba",-0.0549047838517557
"AGR",-190,"a50_ay_ba",-0.0547264038053599
"AGR",-189.1667,"a50_ay_ba",-0.0547814573716742
"AGR",-188.3333,"a50_ay_ba",-0.0550695363590041
"AGR",-187.5,"a50_ay_ba",-0.0555897928562706
"AGR",-186.6667,"a50_ay_ba",-0.0563408854098073
"AGR",-185.8333,"a50_ay_ba",-0.0573208818638603
"AGR",-185,"a50_ay_ba",-0.0585271207495686
"AGR",-184.1667,"a50_ay_ba",-0.0599560347639745
"AGR",-183.3333,"a50_ay_ba",-0.0616029414770117
"AGR",-182.5,"a50_ay_ba",-0.0634618078934117
"AGR",-181.6667,"a50_ay_ba",-0.0655249968329315
"AGR",-180.8333,"a50_ay_ba",-0.0677830042343173
"AGR",-180,"a50_ay_ba",-0.0702241973983143
"AGR",-179.1667,"a50_ay_ba",-0.0728345648305963
"AGR",-178.3333,"a50_ay_ba",-0.0755974887007217
"AGR",-177.5,"a50_ay_ba",-0.0784935509793081
"AGR",-176.6667,"a50_ay_ba",-0.0815003840414277
"AGR",-175.8333,"a50_ay_ba",-0.0845925759267563
"AGR",-175,"a50_ay_ba",-0.0877416395318158
"AGR",-174.1667,"a50_ay_ba",-0.0909160537905144
"AGR",-173.3333,"a50_ay_ba",-0.0940813833983905
"AGR",-172.5,"a50_ay_ba",-0.0972004818834819
"AGR",-171.6667,"a50_ay_ba",-0.100233780859989
"AGR",-170.8333,"a50_ay_ba",-0.103139666163681
"AGR",-170,"a50_ay_ba",-0.105874939309738
"AGR",-169.1667,"a50_ay_ba",-0.108395360388322
"AGR",-168.3333,"a50_ay_ba",-0.110656266177538
"AGR",-167.5,"a50_ay_ba",-0.112613254966565
"AGR",-166.6667,"a50_ay_ba",-0.114222927402892
"AGR",-165.8333,"a50_ay_ba",-0.1154436706649
"AGR",-165,"a50_ay_ba",-0.116236471470475
"AGR",-164.1667,"a50_ay_ba",-0.116565741915564
"AGR",-163.3333,"a50_ay_ba",-0.116400140940307
"AGR",-162.5,"a50_ay_ba",-0.115713373384528
"AGR",-161.6667,"a50_ay_ba",-0.114484948151495
"AGR",-160.8333,"a50_ay_ba",-0.112700876972597
"AGR",-160,"a50_ay_ba",-0.110354295670511
"AGR",-159.1667,"a50_ay_ba",-0.107445990659022
"AGR",-158.3333,"a50_ay_ba",-0.103984814688124
"AGR",-157.5,"a50_ay_ba",-0.0999879775274574
"AGR",-156.6667,"a50_ay_ba",-0.0954811993531228
"AGR",-155.8333,"a50_ay_ba",-0.0904987170265995
"AGR",-155,"a50_ay_ba",-0.0850831361846603
"AGR",-154.1667,"a50_ay_ba",-0.0792851250424338
"AGR",-153.3333,"a50_ay_ba",-0.0731629489875942
"AGR",-152.5,"a50_ay_ba",-0.0667818483455134
"AGR",-151.6667,"a50_ay_ba",-0.0602132650521381
"AGR",-150.8333,"a50_ay_ba",-0.0535339273095508
"AGR",-150,"a50_ay_ba",-0.0468248045433493
"AGR",-149.1667,"a50_ay_ba",-0.0401699480566174
"AGR",-148.3333,"a50_ay_ba",-0.0336552356096918
"AGR",-147.5,"a50_ay_ba",-0.0273670406796655
"AGR",-146.6667,"a50_ay_ba",-0.0213908493054518
"AGR",-145.8333,"a50_ay_ba",-0.0158098491473105
"AGR",-145,"a50_ay_ba",-0.0107035166365
"AGR",-144.1667,"a50_ay_ba",-0.00614622882337644
"AGR",-143.3333,"a50_ay_ba",-0.0022059267238133
"AGR",-142.5,"a50_ay_ba",0.00105714340128136
"AGR",-141.6667,"a50_ay_ba",0.00359158532365161
"AGR",-140.8333,"a50_ay_ba",0.00535588064906201
"AGR",-140,"a50_ay_ba",0.00631926711474457
"AGR",-139.1667,"a50_ay_ba",0.00646244785766548
"AGR",-138.3333,"a50_ay_ba",0.00577811508222859
"AGR",-137.5,"a50_ay_ba",0.00427127490597274
"AGR",-136.6667,"a50_ay_ba",0.0019593638427236
"AGR",-135.8333,"a50_ay_ba",-0.00112784867874723
"AGR",-135,"a50_ay_ba",-0.00494857324627088
"AGR",-134.1667,"a50_ay_ba",-0.00944952612287957
"AGR",-133.3333,"a50_ay_ba",-0.0145666606960135
"AGR",-132.5,"a50_ay_ba",-0.0202260936526657
"AGR",-131.6667,"a50_ay_ba",-0.0263452108613332
"AGR",-130.8333,"a50_ay_ba",-0.0328339342470581
"AGR",-130,"a50_ay_ba",-0.0395961275924255
"AGR",-129.1667,"a50_ay_ba",-0.0465311162601301
"AGR",-128.3333,"a50_ay_ba",-0.0535352933781965
"AGR",-127.5,"a50_ay_ba",-0.0605037831140445
"AGR",-126.6667,"a50_ay_ba",-0.067332130333983
"AGR",-125.8333,"a50_ay_ba",-0.0739179852338431
"AGR",-125,"a50_ay_ba",-0.0801627514545694
"AGR",-124.1667,"a50_ay_ba",-0.0859731667702835
"AGR",-123.3333,"a50_ay_ba",-0.091262786648239
"AGR",-122.5,"a50_ay_ba",-0.0959533428088695
"AGR",-121.6667,"a50_ay_ba",-0.0999759513249999
"AGR",-120.8333,"a50_ay_ba",-0.103272147744453
"AGR",-120,"a50_ay_ba",-0.105794730140127
"AGR",-119.1667,"a50_ay_ba",-0.107508394815745
"AGR",-118.3333,"a50_ay_ba",-0.108390153544418
"AGR",-117.5,"a50_ay_ba",-0.108429525603759
"AGR",-116.6667,"a50_ay_ba",-0.107628502402984
"AGR",-115.8333,"a50_ay_ba",-0.106001287077913
"AGR",-115,"a50_ay_ba",-0.103573815961304
"AGR",-114.1667,"a50_ay_ba",-0.100383073221433
"AGR",-113.3333,"a50_ay_ba",-0.0964762141071104
"AGR",-112.5,"a50_ay_ba",-0.09190951605296
"AGR",-111.6667,"a50_ay_ba",-0.0867471803025488
"AGR",-110.8333,"a50_ay_ba",-0.0810600096251997
"AGR",-110,"a50_ay_ba",-0.0749239900719451
"AGR",-109.1667,"a50_ay_ba",-0.0684188064859562
"AGR",-108.3333,"a50_ay_ba",-0.0616263226147091
"AGR",-107.5,"a50_ay_ba",-0.0546290571410832
"AGR",-106.6667,"a50_ay_ba",-0.0475086867489105
"AGR",-105.8333,"a50_ay_ba",-0.0403446064704451
"AGR",-105,"a50_ay_ba",-0.0332125760487971
"AGR",-104.1667,"a50_ay_ba",-0.0261834789218093
"AGR",-103.3333,"a50_ay_ba",-0.0193222177430596
"AGR",-102.5,"a50_ay_ba",-0.0126867671610069
"AGR",-101.6667,"a50_ay_ba",-0.00632740095036186
"AGR",-100.8333,"a50_ay_ba",-0.000286106611784979
"AGR",-100,"a50_ay_ba",0.00540380368403439
"AGR",-99.1667,"a50_ay_ba",0.0107178813391523
"AGR",-98.3333,"a50_ay_ba",0.0156405287652735
"AGR",-97.5,"a50_ay_ba",0.0201647904669104
"AGR",-96.6667,"a50_ay_ba",0.0242919565374192
"AGR",-95.8333,"a50_ay_ba",0.0280309914225598
"AGR",-95,"a50_ay_ba",0.0313978045768737
"AGR",-94.1667,"a50_ay_ba",0.0344143830077849
"AGR",-93.3333,"a50_ay_ba",0.0371078085964755
"AGR",-92.5,"a50_ay_ba",0.0395091854396314
"AGR",-91.6667,"a50_ay_ba",0.0416525042208407
"AGR",-90.8333,"a50_ay_ba",0.0435734717569239
"AGR",-90,"a50_ay_ba",0.0453083343493667
"AGR",-89.1667,"a50_ay_ba",0.0468927233956768
"AGR",-88.3333,"a50_ay_ba",0.048360550886466
"AGR",-87.5,"a50_ay_ba",0.049742980952729
"AGR",-86.6667,"a50_ay_ba",0.0510675015700657
"AGR",-85.8333,"a50_ay_ba",0.0523571179219319
"AGR",-85,"a50_ay_ba",0.0536296858343425
"AGR",-84.1667,"a50_ay_ba",0.0548974001928405
"AGR",-83.3333,"a50_ay_ba",0.0561664494213176
"AGR",-82.5,"a50_ay_ba",0.057436843031318
"AGR",-81.6667,"a50_ay_ba",0.0587024150350242
"AGR",-80.8333,"a50_ay_ba",0.0599510017536787
"AGR",-80,"a50_ay_ba",0.0611647883451709
"AGR",-79.1667,"a50_ay_ba",0.0623208143179157
"AGR",-78.3333,"a50_ay_ba",0.0633916244874536
"AGR",-77.5,"a50_ay_ba",0.0643460483559571
"AGR",-76.6667,"a50_ay_ba",0.065150087833825
"AGR",-75.8333,"a50_ay_ba",0.0657678906477712
"AGR",-75,"a50_ay_ba",0.0661627847509092
"AGR",-74.1667,"a50_ay_ba",0.0662983476141206
"AGR",-73.3333,"a50_ay_ba",0.0661394834675001
"AGR",-72.5,"a50_ay_ba",0.0656534813942242
"AGR",-71.6667,"a50_ay_ba",0.0648110276600874
"AGR",-70.8333,"a50_ay_ba",0.063587146778326
"AGR",-70,"a50_ay_ba",0.0619620475344722
"AGR",-69.1667,"a50_ay_ba",0.0599218524888241
"AGR",-68.3333,"a50_ay_ba",0.0574591922803558
"AGR",-67.5,"a50_ay_ba",0.0545736493091414
"AGR",-66.6667,"a50_ay_ba",0.0512720389976948
"AGR",-65.8333,"a50_ay_ba",0.0475685207393906
"AGR",-65,"a50_ay_ba",0.0434845347419334
"AGR",-64.1667,"a50_ay_ba",0.0390485651686945
"AGR",-63.3333,"a50_ay_ba",0.0342957341713087
"AGR",-62.5,"a50_ay_ba",0.0292672354939025
"AGR",-61.6667,"a50_ay_ba",0.0240096202156899
"AGR",-60.8333,"a50_ay_ba",0.0185739507919814
"AGR",-60,"a50_ay_ba",0.0130148427682487
"AGR",-59.1667,"a50_ay_ba",0.00738941630086842
"AGR",-58.3333,"a50_ay_ba",0.00175618185520241
"AGR",-57.5,"a50_ay_ba",-0.00382611388735174
"AGR",-56.6667,"a50_ay_ba",-0.00929965483753174
"AGR",-55.8333,"a50_ay_ba",-0.0146087075446507
"AGR",-55,"a50_ay_ba",-0.0197007312574528
"AGR",-54.1667,"a50_ay_ba",-0.024527419678658
"AGR",-53.3333,"a50_ay_ba",-0.0290456496261557
"AGR",-52.5,"a50_ay_ba",-0.0332183139436207
"AGR",-51.6667,"a50_ay_ba",-0.0370150186807699
"AGR",-50.8333,"a50_ay_ba",-0.0404126277269818
"AGR",-50,"a50_ay_ba",-0.0433956416583916
"AGR",-49.1667,"a50_ay_ba",-0.0459564014647164
