"region","Time","condition","Value"
"AGR",-200,"a75_an_ba",-0.0932180574849046
"AGR",-199.1667,"a75_an_ba",-0.0897885718182342
"AGR",-198.3333,"a75_an_ba",-0.0860214897358963
"AGR",-197.5,"a75_an_ba",-0.0819114899600641
"AGR",-196.6667,"a75_an_ba",-0.0774589876321979
"AGR",-195.8333,"a75_an_ba",-0.0726706068493363
"AGR",-195,"a75_an_ba",-0.0675595416552678
"AGR",-194.1667,"a75_an_ba",-0.0621457917995893
"AGR",-193.3333,"a75_an_ba",-0.056456261966639
"AGR",-192.5,"a75_an_ba",-0.0505247159105816
"AGR",-191.6667,"a75_an_ba",-0.0443915799584108
"AGR",-190.8333,"a75_an_ba",-0.0381035935970204
"AGR",-190,"a75_an_ba",-0.0317133082743275
"AGR",-189.1667,"a75_an_ba",-0.0252784390428958
"AGR",-188.3333,"a75_an_ba",-0.0188610771787208
"AGR",-187.5,"a75_an_ba",-0.012526775336817
"AGR",-186.6667,"a75_an_ba",-0.00634352007767828
"AGR",-185.8333,"a75_an_ba",-0.00038060963476834
"AGR",-185,"a75_an_ba",0.00529254248339621
"AGR",-184.1667,"a75_an_ba",0.0106076551233281
"AGR",-183.3333,"a75_an_ba",0.0154988535236265
"AGR",-182.5,"a75_an_ba",0.0199039435448804
"AGR",-181.6667,"a75_an_ba",0.023765659037542
"AGR",-180.8333,"a75_an_ba",0.0270328550339648
"AGR",-180,"a75_an_ba",0.0296616197950111
"AGR",-179.1667,"a75_an_ba",0.0316162796968914
"AGR",-178.3333,"a75_an_ba",0.0328702725045736
"AGR",-177.5,"a75_an_ba",0.0334068667245625
"AGR",-176.6667,"a75_an_ba",0.0332197074287668
"AGR",-175.8333,"a75_an_ba",0.0323131721459996
"AGR",-175,"a75_an_ba",0.0307025240691994
"AGR",-174.1667,"a75_an_ba",0.0284138538542805
"AGR",-173.3333,"a75_an_ba",0.0254838056099335
"AGR",-172.5,"a75_an_ba",0.0219590872076914
"AGR",-171.6667,"a75_an_ba",0.0178957696824022
"AGR",-170.8333,"a75_an_ba",0.0133583851446758
"AGR",-170,"a75_an_ba",0.00841883718608973
"AGR",-169.1667,"a75_an_ba",0.00315514212207572
"AGR",-168.3333,"a75_an_ba",-0.0023499765143311
"AGR",-167.5,"a75_an_ba",-0.00801061413867326
"AGR",-166.6667,"a75_an_ba",-0.013739302657889
"AGR",-165.8333,"a75_an_ba",-0.0194486874751041
"AGR",-165,"a75_an_ba",-0.025053230043275
"AGR",-164.1667,"a75_an_ba",-0.0304709007463433
