region,Time,condition,Value,SE
AGR,-200,iaa_bi,0.165079482,0.061244732
AGR,-199.1667,iaa_bi,0.163336839,0.06295163
AGR,-198.3333,iaa_bi,0.160923771,0.0654629
AGR,-197.5,iaa_bi,0.157838076,0.06860889
AGR,-196.6667,iaa_bi,0.15408911,0.072198592
AGR,-195.8333,iaa_bi,0.149698073,0.07604214
AGR,-195,iaa_bi,0.14469808,0.079964736
AGR,-194.1667,iaa_bi,0.139134014,0.083813403
AGR,-193.3333,iaa_bi,0.133062159,0.087459204
AGR,-192.5,iaa_bi,0.126549598,0.090797162
AGR,-191.6667,iaa_bi,0.119673414,0.093745269
AGR,-190.8333,iaa_bi,0.112519661,0.096243307
AGR,-190,iaa_bi,0.105182159,0.098251787
AGR,-189.1667,iaa_bi,0.097761096,0.099751071
AGR,-188.3333,iaa_bi,0.09036149,0.100740669
AGR,-187.5,iaa_bi,0.083091511,0.101238619
AGR,-186.6667,iaa_bi,0.076060701,0.101280868
AGR,-185.8333,iaa_bi,0.069378136,0.100920529
AGR,-185,iaa_bi,0.063150532,0.100226864
AGR,-184.1667,iaa_bi,0.057480364,0.099283798
AGR,-183.3333,iaa_bi,0.052464007,0.098187752
AGR,-182.5,iaa_bi,0.048189956,0.097044518
AGR,-181.6667,iaa_bi,0.044737132,0.095964961
AGR,-180.8333,iaa_bi,0.042173345,0.09505942
AGR,-180,iaa_bi,0.040553907,0.094430971
AGR,-179.1667,iaa_bi,0.039920456,0.09416806
AGR,-178.3333,iaa_bi,0.040299994,0.09433746
AGR,-177.5,iaa_bi,0.041704179,0.094978766
AGR,-176.6667,iaa_bi,0.044128867,0.096101537
AGR,-175.8333,iaa_bi,0.04755395,0.097685709
AGR,-175,iaa_bi,0.051943454,0.099685122
AGR,-174.1667,iaa_bi,0.057245945,0.102033294
AGR,-173.3333,iaa_bi,0.063395204,0.104650242
AGR,-172.5,iaa_bi,0.070311185,0.10744918
AGR,-171.6667,iaa_bi,0.077901228,0.110342296
AGR,-170.8333,iaa_bi,0.086061522,0.113245213
AGR,-170,iaa_bi,0.094678776,0.116080086
AGR,-169.1667,iaa_bi,0.103632087,0.118777507
AGR,-168.3333,iaa_bi,0.112794959,0.121277461
AGR,-167.5,iaa_bi,0.122037447,0.123529584
AGR,-166.6667,iaa_bi,0.131228377,0.12549294
AGR,-165.8333,iaa_bi,0.140237609,0.127135499
AGR,-165,iaa_bi,0.148938296,0.128433427
AGR,-164.1667,iaa_bi,0.157209095,0.129370296
AGR,-163.3333,iaa_bi,0.1649363,0.129936276
AGR,-162.5,iaa_bi,0.172015829,0.13012735
AGR,-161.6667,iaa_bi,0.178355059,0.129944602
AGR,-160.8333,iaa_bi,0.183874443,0.129393583
AGR,-160,iaa_bi,0.188508901,0.128483784
AGR,-159.1667,iaa_bi,0.192208931,0.127228207
AGR,-158.3333,iaa_bi,0.194941444,0.12564305
AGR,-157.5,iaa_bi,0.196690282,0.123747485
