region,Time,condition,Value,SE
AGR,-200,vaa_ba,-0.093263843,0.102825529
AGR,-199.1667,vaa_ba,-0.090144056,0.100584985
AGR,-198.3333,vaa_ba,-0.087862995,0.098613479
AGR,-197.5,vaa_ba,-0.086437508,0.096939059
AGR,-196.6667,vaa_ba,-0.085870746,0.095577504
AGR,-195.8333,vaa_ba,-0.086152268,0.09453156
AGR,-195,vaa_ba,-0.087258401,0.09379129
AGR,-194.1667,vaa_ba,-0.089152842,0.09333555
AGR,-193.3333,vaa_ba,-0.091787478,0.093134412
AGR,-192.5,vaa_ba,-0.095103412,0.093152196
AGR,-191.6667,vaa_ba,-0.099032179,0.093350716
AGR,-190.8333,vaa_ba,-0.103497095,0.093692372
AGR,-190,vaa_ba,-0.108414742,0.094142774
AGR,-189.1667,vaa_ba,-0.11369654,0.094672721
AGR,-188.3333,vaa_ba,-0.119250365,0.095259443
AGR,-187.5,vaa_ba,-0.124982199,0.095887117
AGR,-186.6667,vaa_ba,-0.130797764,0.096546706
AGR,-185.8333,vaa_ba,-0.136604105,0.097235224
AGR,-185,vaa_ba,-0.142311104,0.097954545
AGR,-184.1667,vaa_ba,-0.147832889,0.098709883
AGR,-183.3333,vaa_ba,-0.153089104,0.099508089
AGR,-182.5,vaa_ba,-0.158006036,0.100355925
AGR,-181.6667,vaa_ba,-0.162517572,0.101258449
AGR,-180.8333,vaa_ba,-0.166565964,0.102217661
AGR,-180,vaa_ba,-0.170102408,0.103231515
AGR,-179.1667,vaa_ba,-0.173087427,0.104293377
AGR,-178.3333,vaa_ba,-0.175491051,0.105391962
AGR,-177.5,vaa_ba,-0.177292808,0.106511713
AGR,-176.6667,vaa_ba,-0.178481536,0.107633582
AGR,-175.8333,vaa_ba,-0.179055014,0.108736098
AGR,-175,vaa_ba,-0.179019449,0.10979663
AGR,-174.1667,vaa_ba,-0.178388822,0.110792713
AGR,-173.3333,vaa_ba,-0.177184124,0.111703346
AGR,-172.5,vaa_ba,-0.1754325,0.112510177
AGR,-171.6667,vaa_ba,-0.173166334,0.113198484
AGR,-170.8333,vaa_ba,-0.170422288,0.113757946
AGR,-170,vaa_ba,-0.167240332,0.114183129
AGR,-169.1667,vaa_ba,-0.163662786,0.11447371
AGR,-168.3333,vaa_ba,-0.159733391,0.114634419
AGR,-167.5,vaa_ba,-0.15549644,0.114674709
AGR,-166.6667,vaa_ba,-0.150995983,0.114608182
AGR,-165.8333,vaa_ba,-0.146275116,0.114451795
AGR,-165,vaa_ba,-0.141375381,0.114224875
AGR,-164.1667,vaa_ba,-0.136336274,0.113948016
AGR,-163.3333,vaa_ba,-0.131194865,0.11364189
AGR,-162.5,vaa_ba,-0.125985547,0.113326054
AGR,-161.6667,vaa_ba,-0.12073989,0.113017824
AGR,-160.8333,vaa_ba,-0.115486618,0.112731284
AGR,-160,vaa_ba,-0.110251681,0.112476493
AGR,-159.1667,vaa_ba,-0.105058419,0.112258938
AGR,-158.3333,vaa_ba,-0.099927805,0.112079271
AGR,-157.5,vaa_ba,-0.09487875,0.11193332
AGR,-156.6667,vaa_ba,-0.089928443,0.111812359
AGR,-155.8333,vaa_ba,-0.085092721,0.111703592
AGR,-155,vaa_ba,-0.080386447,0.111590801
AGR,-154.1667,vaa_ba,-0.075823864,0.111455073
AGR,-153.3333,vaa_ba,-0.071418924,0.111275572
AGR,-152.5,vaa_ba,-0.067185567,0.111030277
AGR,-151.6667,vaa_ba,-0.063137932,0.110696665
AGR,-150.8333,vaa_ba,-0.059290497,0.110252306
AGR,-150,vaa_ba,-0.055658131,0.109675369
AGR,-149.1667,vaa_ba,-0.052256047,0.108945047
AGR,-148.3333,vaa_ba,-0.049099674,0.10804191
AGR,-147.5,vaa_ba,-0.046204416,0.106948228
AGR,-146.6667,vaa_ba,-0.043585332,0.105648274
AGR,-145.8333,vaa_ba,-0.041256725,0.104128656
AGR,-145,vaa_ba,-0.039231658,0.102378692
AGR,-144.1667,vaa_ba,-0.037521414,0.100390865
AGR,-143.3333,vaa_ba,-0.036134903,0.098161377
AGR,-142.5,vaa_ba,-0.035078052,0.095690831
AGR,-141.6667,vaa_ba,-0.034353185,0.092985051
AGR,-140.8333,vaa_ba,-0.033958421,0.090056077
AGR,-140,vaa_ba,-0.033887109,0.086923341
AGR,-139.1667,vaa_ba,-0.034127326,0.083615054
AGR,-138.3333,vaa_ba,-0.034661455,0.080169821
AGR,-137.5,vaa_ba,-0.035465865,0.076638456
AGR,-136.6667,vaa_ba,-0.036510715,0.073085919
AGR,-135.8333,vaa_ba,-0.037759887,0.069593164
AGR,-135,vaa_ba,-0.039171075,0.066258393
AGR,-134.1667,vaa_ba,-0.040696029,0.063196848
AGR,-133.3333,vaa_ba,-0.042280961,0.06053772
AGR,-132.5,vaa_ba,-0.043867116,0.058416482
AGR,-131.6667,vaa_ba,-0.045391507,0.056961411
AGR,-130.8333,vaa_ba,-0.046787797,0.056275194
AGR,-130,vaa_ba,-0.047987331,0.056415922
AGR,-129.1667,vaa_ba,-0.048920287,0.057384426
AGR,-128.3333,vaa_ba,-0.049516933,0.059123577
AGR,-127.5,vaa_ba,-0.049708972,0.061529672
AGR,-126.6667,vaa_ba,-0.049430934,0.064470486
AGR,-125.8333,vaa_ba,-0.048621597,0.067803209
AGR,-125,vaa_ba,-0.047225408,0.071387931
AGR,-124.1667,vaa_ba,-0.045193857,0.075095743
AGR,-123.3333,vaa_ba,-0.04248679,0.078812507
AGR,-122.5,vaa_ba,-0.039073614,0.082439911
AGR,-121.6667,vaa_ba,-0.034934373,0.085895104
AGR,-120.8333,vaa_ba,-0.030060657,0.089109755
AGR,-120,vaa_ba,-0.024456327,0.092028981
AGR,-119.1667,vaa_ba,-0.018138024,0.094610338
AGR,-118.3333,vaa_ba,-0.011135447,0.096822937
AGR,-117.5,vaa_ba,-0.003491391,0.098646667
AGR,-116.6667,vaa_ba,0.00473848,0.100071518
AGR,-115.8333,vaa_ba,0.013486111,0.101096922
AGR,-115,vaa_ba,0.022671793,0.101731118
AGR,-114.1667,vaa_ba,0.032205157,0.101990464
AGR,-113.3333,vaa_ba,0.041986396,0.101898693
AGR,-112.5,vaa_ba,0.051907716,0.101486066
AGR,-111.6667,vaa_ba,0.061854973,0.100788404
AGR,-110.8333,vaa_ba,0.071709488,0.099845979
AGR,-110,vaa_ba,0.081349984,0.098702241
AGR,-109.1667,vaa_ba,0.090654634,0.09740239
AGR,-108.3333,vaa_ba,0.099503159,0.095991781
AGR,-107.5,vaa_ba,0.107778944,0.094514208
AGR,-106.6667,vaa_ba,0.115371136,0.093010123
AGR,-105.8333,vaa_ba,0.122176667,0.09151486
AGR,-105,vaa_ba,0.128102169,0.090057001
AGR,-104.1667,vaa_ba,0.133065744,0.088657007
AGR,-103.3333,vaa_ba,0.136998534,0.087326257
AGR,-102.5,vaa_ba,0.139846084,0.086066606
AGR,-101.6667,vaa_ba,0.141569434,0.084870548
AGR,-100.8333,vaa_ba,0.142145948,0.083721978
AGR,-100,vaa_ba,0.141569834,0.082597516
AGR,-99.1667,vaa_ba,0.139852355,0.081468252
AGR,-98.3333,vaa_ba,0.137021719,0.080301797
AGR,-97.5,vaa_ba,0.133122647,0.079064446
AGR,-96.6667,vaa_ba,0.128215629,0.077723351
AGR,-95.8333,vaa_ba,0.122375875,0.076248567
AGR,-95,vaa_ba,0.115691978,0.074614936
AGR,-94.1667,vaa_ba,0.108264329,0.07280377
AGR,-93.3333,vaa_ba,0.100203296,0.070804362
AGR,-92.5,vaa_ba,0.091627212,0.068615346
AGR,-91.6667,vaa_ba,0.082660216,0.066245979
AGR,-90.8333,vaa_ba,0.073429979,0.063717376
AGR,-90,vaa_ba,0.064065377,0.061063753
AGR,-89.1667,vaa_ba,0.054694139,0.058333645
AGR,-88.3333,vaa_ba,0.045440539,0.055590974
AGR,-87.5,vaa_ba,0.036423158,0.052915648
AGR,-86.6667,vaa_ba,0.027752783,0.050403017
AGR,-85.8333,vaa_ba,0.019530471,0.048161102
AGR,-85,vaa_ba,0.011845827,0.046304176
AGR,-84.1667,vaa_ba,0.004775521,0.044941539
AGR,-83.3333,vaa_ba,-0.001617913,0.044161906
AGR,-82.5,vaa_ba,-0.007286975,0.044016725
AGR,-81.6667,vaa_ba,-0.012199793,0.044508368
AGR,-80.8333,vaa_ba,-0.016340368,0.045588522
AGR,-80,vaa_ba,-0.019708503,0.047167538
AGR,-79.1667,vaa_ba,-0.022319391,0.049130319
AGR,-78.3333,vaa_ba,-0.02420289,0.051352555
AGR,-77.5,vaa_ba,-0.025402495,0.053713162
AGR,-76.6667,vaa_ba,-0.025974024,0.056101867
AGR,-75.8333,vaa_ba,-0.025984068,0.058422814
AGR,-75,vaa_ba,-0.025508217,0.060595658
AGR,-74.1667,vaa_ba,-0.024629121,0.062555318
AGR,-73.3333,vaa_ba,-0.023434413,0.064251177
AGR,-72.5,vaa_ba,-0.022014558,0.065646116
AGR,-71.6667,vaa_ba,-0.020460657,0.066715568
