region,Time,condition,Value,SE
AGR,-200,iss_bs,-0.034762151,0.118151711
AGR,-199.1667,iss_bs,-0.027890946,0.119669707
AGR,-198.3333,iss_bs,-0.020980999,0.121324758
AGR,-197.5,iss_bs,-0.01409989,0.123051411
AGR,-196.6667,iss_bs,-0.007314845,0.124782832
AGR,-195.8333,iss_bs,-0.000691627,0.126453636
AGR,-195,iss_bs,0.005706546,0.128002199
AGR,-194.1667,iss_bs,0.011820032,0.129372431
AGR,-193.3333,iss_bs,0.017593719,0.130515055
AGR,-192.5,iss_bs,0.022977892,0.131388464
AGR,-191.6667,iss_bs,0.027928985,0.131959231
AGR,-190.8333,iss_bs,0.032410218,0.13220236
AGR,-190,iss_bs,0.036392098,0.132101337
AGR,-189.1667,iss_bs,0.039852769,0.131648046
AGR,-188.3333,iss_bs,0.042778227,0.130842596
AGR,-187.5,iss_bs,0.045162375,0.129693103
AGR,-186.6667,iss_bs,0.047006929,0.128215438
AGR,-185.8333,iss_bs,0.048321183,0.126432989
AGR,-185,iss_bs,0.049121629,0.124376412
AGR,-184.1667,iss_bs,0.04943145,0.122083396
AGR,-183.3333,iss_bs,0.049279899,0.119598409
AGR,-182.5,iss_bs,0.048701572,0.116972397
AGR,-181.6667,iss_bs,0.047735601,0.114262372
AGR,-180.8333,iss_bs,0.046424776,0.111530807
AGR,-180,iss_bs,0.044814622,0.10884474
AGR,-179.1667,iss_bs,0.042952452,0.10627445
AGR,-178.3333,iss_bs,0.040886412,0.103891581
AGR,-177.5,iss_bs,0.038664541,0.101766644
AGR,-176.6667,iss_bs,0.036333865,0.099965881
AGR,-175.8333,iss_bs,0.033939545,0.098547646
AGR,-175,iss_bs,0.031524093,0.097558628
AGR,-174.1667,iss_bs,0.029126678,0.097030411
AGR,-173.3333,iss_bs,0.026782522,0.096976955
AGR,-172.5,iss_bs,0.024522409,0.097393481
AGR,-171.6667,iss_bs,0.022372315,0.098257034
AGR,-170.8333,iss_bs,0.020353149,0.099528649
AGR,-170,iss_bs,0.018480623,0.101156723
AGR,-169.1667,iss_bs,0.016765243,0.103081059
AGR,-168.3333,iss_bs,0.01521242,0.105236977
AGR,-167.5,iss_bs,0.013822689,0.107559078
AGR,-166.6667,iss_bs,0.012592034,0.10998438
AGR,-165.8333,iss_bs,0.011512302,0.11245472
AGR,-165,iss_bs,0.010571701,0.114918466
AGR,-164.1667,iss_bs,0.009755352,0.117331609
AGR,-163.3333,iss_bs,0.009045897,0.119658346
AGR,-162.5,iss_bs,0.008424138,0.121871255
AGR,-161.6667,iss_bs,0.007869681,0.12395114
AGR,-160.8333,iss_bs,0.007361588,0.125886608
AGR,-160,iss_bs,0.006879001,0.12767341
AGR,-159.1667,iss_bs,0.006401736,0.129313599
AGR,-158.3333,iss_bs,0.005910823,0.130814497
AGR,-157.5,iss_bs,0.005388984,0.13218754
AGR,-156.6667,iss_bs,0.004821046,0.133447
AGR,-155.8333,iss_bs,0.004194258,0.134608647
AGR,-155,iss_bs,0.003498534,0.135688397
AGR,-154.1667,iss_bs,0.002726594,0.136701018
AGR,-153.3333,iss_bs,0.00187402,0.137658942
AGR,-152.5,iss_bs,0.00093922,0.138571272
AGR,-151.6667,iss_bs,-7.67E-05,0.139443035
AGR,-150.8333,iss_bs,-0.001170149,0.140274719
AGR,-150,iss_bs,-0.002335304,0.141062145
AGR,-149.1667,iss_bs,-0.003564475,0.141796645
AGR,-148.3333,iss_bs,-0.004848481,0.142465552
AGR,-147.5,iss_bs,-0.006177074,0.143052948
AGR,-146.6667,iss_bs,-0.007539386,0.14354062
AGR,-145.8333,iss_bs,-0.008924382,0.143909145
AGR,-145,iss_bs,-0.010321306,0.144139046
AGR,-144.1667,iss_bs,-0.011720099,0.144211952
AGR,-143.3333,iss_bs,-0.013111791,0.144111691
AGR,-142.5,iss_bs,-0.014488832,0.143825276
AGR,-141.6667,iss_bs,-0.015845376,0.14334374
AGR,-140.8333,iss_bs,-0.017177481,0.142662783
AGR,-140,iss_bs,-0.018483248,0.141783217
AGR,-139.1667,iss_bs,-0.019762863,0.140711185
AGR,-138.3333,iss_bs,-0.021018568,0.13945814
AGR,-137.5,iss_bs,-0.022254537,0.138040587
AGR,-136.6667,iss_bs,-0.023476678,0.136479575
AGR,-135.8333,iss_bs,-0.024692354,0.134799947
AGR,-135,iss_bs,-0.025910036,0.133029352
AGR,-134.1667,iss_bs,-0.027138894,0.13119706
AGR,-133.3333,iss_bs,-0.028388347,0.129332587
AGR,-132.5,iss_bs,-0.029667569,0.127464214
AGR,-131.6667,iss_bs,-0.030984981,0.125617454
AGR,-130.8333,iss_bs,-0.032347739,0.12381357
AGR,-130,iss_bs,-0.03376123,0.122068243
AGR,-129.1667,iss_bs,-0.035228601,0.120390515
AGR,-128.3333,iss_bs,-0.036750327,0.118782085
AGR,-127.5,iss_bs,-0.038323841,0.117237054
AGR,-126.6667,iss_bs,-0.03994324,0.115742152
AGR,-125.8333,iss_bs,-0.041599071,0.114277433
AGR,-125,iss_bs,-0.04327822,0.112817409
AGR,-124.1667,iss_bs,-0.044963895,0.111332505
AGR,-123.3333,iss_bs,-0.046635729,0.109790755
AGR,-122.5,iss_bs,-0.048269991,0.108159595
AGR,-121.6667,iss_bs,-0.049839903,0.106407667
AGR,-120.8333,iss_bs,-0.051316081,0.104506513
AGR,-120,iss_bs,-0.05266706,0.102432118
AGR,-119.1667,iss_bs,-0.053859924,0.100166243
AGR,-118.3333,iss_bs,-0.054861016,0.097697523
AGR,-117.5,iss_bs,-0.055636712,0.095022334
AGR,-116.6667,iss_bs,-0.056154248,0.092145427
AGR,-115.8333,iss_bs,-0.056382573,0.08908034
AGR,-115,iss_bs,-0.056293225,0.085849593
AGR,-114.1667,iss_bs,-0.055861186,0.082484657
AGR,-113.3333,iss_bs,-0.055065713,0.079025686
AGR,-112.5,iss_bs,-0.053891117,0.075520962
AGR,-111.6667,iss_bs,-0.052327469,0.072025964
AGR,-110.8333,iss_bs,-0.050371206,0.068601942
AGR,-110,iss_bs,-0.048025643,0.065313831
AGR,-109.1667,iss_bs,-0.045301338,0.062227328
AGR,-108.3333,iss_bs,-0.042216332,0.05940501
AGR,-107.5,iss_bs,-0.038796231,0.056901543
AGR,-106.6667,iss_bs,-0.035074127,0.054758372
AGR,-105.8333,iss_bs,-0.031090364,0.052998674
AGR,-105,iss_bs,-0.02689213,0.051623706
AGR,-104.1667,iss_bs,-0.022532896,0.050611683
AGR,-103.3333,iss_bs,-0.018071701,0.049919792
AGR,-102.5,iss_bs,-0.013572292,0.049489114
AGR,-101.6667,iss_bs,-0.009102133,0.049251359
AGR,-100.8333,iss_bs,-0.00473131,0.049136049
AGR,-100,iss_bs,-0.00053134,0.049076889
AGR,-99.1667,iss_bs,0.003426087,0.049016664
AGR,-98.3333,iss_bs,0.007070414,0.04891047
AGR,-97.5,iss_bs,0.010333528,0.048727474
AGR,-96.6667,iss_bs,0.013151075,0.048451481
AGR,-95.8333,iss_bs,0.015463729,0.048080622
AGR,-95,iss_bs,0.017218397,0.047626341
AGR,-94.1667,iss_bs,0.018369333,0.047111787
AGR,-93.3333,iss_bs,0.018879137,0.046569617
AGR,-92.5,iss_bs,0.018719615,0.046039202
AGR,-91.6667,iss_bs,0.017872473,0.045563224
AGR,-90.8333,iss_bs,0.016329844,0.045183777
AGR,-90,iss_bs,0.014094617,0.044938236
AGR,-89.1667,iss_bs,0.011180573,0.044855365
AGR,-88.3333,iss_bs,0.007612308,0.044952233
AGR,-87.5,iss_bs,0.003424952,0.045232526
AGR,-86.6667,iss_bs,-0.00133631,0.045686567
AGR,-85.8333,iss_bs,-0.006616922,0.046293016
AGR,-85,iss_bs,-0.012353815,0.047021866
AGR,-84.1667,iss_bs,-0.018476447,0.047838106
AGR,-83.3333,iss_bs,-0.024907976,0.048705454
AGR,-82.5,iss_bs,-0.031566567,0.049589654
AGR,-81.6667,iss_bs,-0.0383668,0.050461074
AGR,-80.8333,iss_bs,-0.045221143,0.051296473
AGR,-80,iss_bs,-0.052041472,0.052079982
AGR,-79.1667,iss_bs,-0.058740597,0.052803324
AGR,-78.3333,iss_bs,-0.06523377,0.053465393
AGR,-77.5,iss_bs,-0.07144014,0.054071273
AGR,-76.6667,iss_bs,-0.077284124,0.054630782
AGR,-75.8333,iss_bs,-0.082696671,0.055156667
AGR,-75,iss_bs,-0.08761638,0.055662586
AGR,-74.1667,iss_bs,-0.091990469,0.056161027
AGR,-73.3333,iss_bs,-0.095775556,0.05666138
AGR,-72.5,iss_bs,-0.098938246,0.057168344
AGR,-71.6667,iss_bs,-0.101455509,0.057680849
AGR,-70.8333,iss_bs,-0.10331484,0.058191615
AGR,-70,iss_bs,-0.10451421,0.058687391
AGR,-69.1667,iss_bs,-0.105061789,0.059149837
AGR,-68.3333,iss_bs,-0.104975472,0.059556934
AGR,-67.5,iss_bs,-0.104282196,0.059884776
AGR,-66.6667,iss_bs,-0.103017092,0.060109557
AGR,-65.8333,iss_bs,-0.101222456,0.060209604
AGR,-65,iss_bs,-0.098946604,0.060167326
AGR,-64.1667,iss_bs,-0.096242601,0.059970952
AGR,-63.3333,iss_bs,-0.093166915,0.059616016
AGR,-62.5,iss_bs,-0.089778024,0.059106491
AGR,-61.6667,iss_bs,-0.086134998,0.058455549
AGR,-60.8333,iss_bs,-0.082296101,0.057685843
AGR,-60,iss_bs,-0.078317441,0.056829246
AGR,-59.1667,iss_bs,-0.074251693,0.055925919
AGR,-58.3333,iss_bs,-0.070146933,0.055022579
