region,Time,condition,Value,SE
AGR,-200,vss_bs,0.018399321,0.103750358
AGR,-199.1667,vss_bs,0.024924803,0.104172229
AGR,-198.3333,vss_bs,0.031590929,0.104962075
AGR,-197.5,vss_bs,0.038336698,0.106131914
AGR,-196.6667,vss_bs,0.045097183,0.107675188
AGR,-195.8333,vss_bs,0.051804291,0.10956685
AGR,-195,vss_bs,0.058387599,0.11176495
AGR,-194.1667,vss_bs,0.064775236,0.11421341
AGR,-193.3333,vss_bs,0.070894809,0.116845528
AGR,-192.5,vss_bs,0.076674361,0.119587743
AGR,-191.6667,vss_bs,0.082043335,0.122363266
AGR,-190.8333,vss_bs,0.086933548,0.125095337
AGR,-190,vss_bs,0.091280139,0.127709966
AGR,-189.1667,vss_bs,0.095022499,0.13013814
AGR,-188.3333,vss_bs,0.098105154,0.132317521
AGR,-187.5,vss_bs,0.100478588,0.134193708
AGR,-186.6667,vss_bs,0.10210001,0.135721112
AGR,-185.8333,vss_bs,0.102934033,0.136863525
AGR,-185,vss_bs,0.10295327,0.13759442
AGR,-184.1667,vss_bs,0.102138828,0.137897019
AGR,-183.3333,vss_bs,0.100480706,0.137764167
AGR,-182.5,vss_bs,0.097978077,0.137198015
AGR,-181.6667,vss_bs,0.094639457,0.136209539
AGR,-180.8333,vss_bs,0.090482766,0.134817898
AGR,-180,vss_bs,0.085535255,0.133049643
AGR,-179.1667,vss_bs,0.079833339,0.130937782
AGR,-178.3333,vss_bs,0.073422299,0.128520723
AGR,-177.5,vss_bs,0.066355879,0.125841092
AGR,-176.6667,vss_bs,0.058695781,0.122944467
AGR,-175.8333,vss_bs,0.050511057,0.119878031
AGR,-175,vss_bs,0.041877412,0.1166892
AGR,-174.1667,vss_bs,0.032876423,0.113424248
AGR,-173.3333,vss_bs,0.02359468,0.110126999
AGR,-172.5,vss_bs,0.014122874,0.106837634
AGR,-171.6667,vss_bs,0.00455482,0.103591686
AGR,-170.8333,vss_bs,-0.005013553,0.100419295
AGR,-170,vss_bs,-0.014485252,0.097344779
AGR,-169.1667,vss_bs,-0.023763276,0.094386559
AGR,-168.3333,vss_bs,-0.032751692,0.091557482
AGR,-167.5,vss_bs,-0.041356699,0.088865492
