subject,vaa_iaa_binding,vss_iss_binding
2,-88.28732647,-25.08533275
3,-57.86946874,-34.08970493
4,-1.133070525,-54.77305385
5,-33.96507837,-20.20217943
6,15.44479353,24.79587714
7,-69.39061058,-118.8490034
8,-15.30783699,-23.99307359
9,45.27298625,7.683694084
10,-2.899542642,-20.49827827
11,41.5765542,-60.24800059
12,37.97297779,27.83937901
13,64.62361142,-51.54428817
14,56.81500722,-9.637736976
15,13.71614787,-71.12676401
16,-18.57159556,-6.164704573
17,25.37862997,15.35549197
18,-13.28692384,-3.672169638
19,214.8474982,16.02214345
20,-28.14207751,-63.43690763
