region,Time,condition,Value
STG-R,0,a50_an_ba,-0.00794170444890175
STG-R,0,a50_ay_an,-0.050932871697539926
STG-R,0,a50_ay_ba,-0.05887457614644166
STG-R,0.8333,a50_an_ba,-0.007744361095416215
STG-R,0.8333,a50_ay_an,-0.06491754979726165
STG-R,0.8333,a50_ay_ba,-0.07266191089267786
STG-R,1.6666999999999998,a50_an_ba,-0.00587419811005581
STG-R,1.6666999999999998,a50_ay_an,-0.08001166972877143
STG-R,1.6666999999999998,a50_ay_ba,-0.08588586783882723
STG-R,2.5,a50_an_ba,-0.002331500928036748
STG-R,2.5,a50_ay_an,-0.09599829011439598
STG-R,2.5,a50_ay_ba,-0.09832979104243271
STG-R,3.3333,a50_an_ba,0.0028568233392042737
STG-R,3.3333,a50_ay_an,-0.1126453627826124
STG-R,3.3333,a50_ay_ba,-0.10978853944340813
STG-R,4.1667,a50_an_ba,0.009636426512174431
STG-R,4.1667,a50_ay_an,-0.12970945518337987
STG-R,4.1667,a50_ay_ba,-0.12007302867120544
STG-R,5,a50_an_ba,0.017925186084084846
STG-R,5,a50_ay_an,-0.14693965751873103
STG-R,5,a50_ay_ba,-0.12901447143464617
STG-R,5.8332999999999995,a50_an_ba,0.027613389020162867
STG-R,5.8332999999999995,a50_ay_an,-0.16408160608066014
STG-R,5.8332999999999995,a50_ay_ba,-0.13646821706049728
STG-R,6.6667000000000005,a50_an_ba,0.038564452781986704
STG-R,6.6667000000000005,a50_ay_an,-0.1808815518822007
STG-R,6.6667000000000005,a50_ay_ba,-0.142317099100214
STG-R,7.5,a50_an_ba,0.05061619213010036
STG-R,7.5,a50_ay_an,-0.19709040254684948
STG-R,7.5,a50_ay_ba,-0.14647421041674913
STG-R,8.3333,a50_an_ba,0.06358262805700732
STG-R,8.3333,a50_ay_an,-0.21246766562403316
STG-R,8.3333,a50_ay_ba,-0.14888503756702584
STG-R,9.1667,a50_an_ba,0.07725632269978581
STG-R,9.1667,a50_ay_an,-0.22678522303782023
STG-R,9.1667,a50_ay_ba,-0.1495289003380344
STG-R,10,a50_an_ba,0.09141121157686069
STG-R,10,a50_ay_an,-0.23983086924092697
STG-R,10,a50_ay_ba,-0.14841965766406628
STG-R,10.833300000000001,a50_an_ba,0.10580589229314334
STG-R,10.833300000000001,a50_ay_an,-0.25141154979973407
STG-R,10.833300000000001,a50_ay_ba,-0.14560565750659074
STG-R,11.6667,a50_an_ba,0.12018731726684227
STG-R,11.6667,a50_ay_an,-0.26135624251610134
STG-R,11.6667,a50_ay_ba,-0.1411689252492591
STG-R,12.5,a50_an_ba,0.13429482734576786
STG-R,12.5,a50_ay_an,-0.2695184297118029
STG-R,12.5,a50_ay_ba,-0.13522360236603506
STG-R,13.3333,a50_an_ba,0.14786445368086215
STG-R,13.3333,a50_ay_an,-0.27577811785100187
STG-R,13.3333,a50_ay_ba,-0.12791366417013972
STG-R,14.1667,a50_an_ba,0.16063340716598198
STG-R,14.1667,a50_ay_an,-0.2800433691233581
STG-R,14.1667,a50_ay_ba,-0.1194099619573761
STG-R,15,a50_an_ba,0.172344668361604
STG-R,15,a50_ay_an,-0.2822513188031744
