region,Time,condition,Value
AG-R,0,a50_an_ba,0.04589554913999483
AG-R,0,a75_a50_an,-0.08835288951736023
AG-R,0,a75_an_ba,-0.042457340377365406
AG-R,0.8333,a50_an_ba,0.05521483559825523
AG-R,0.8333,a75_a50_an,-0.09970635823306627
AG-R,0.8333,a75_an_ba,-0.04449152263481103
AG-R,1.6666999999999998,a50_an_ba,0.06424202353519948
AG-R,1.6666999999999998,a75_a50_an,-0.11070511571598306
AG-R,1.6666999999999998,a75_an_ba,-0.04646309218078358
AG-R,2.5,a50_an_ba,0.07282696725463912
AG-R,2.5,a75_a50_an,-0.12119552522645946
AG-R,2.5,a75_an_ba,-0.04836855797182033
AG-R,3.3333,a50_an_ba,0.08082670418102492
AG-R,3.3333,a75_a50_an,-0.13102612183554024
AG-R,3.3333,a75_an_ba,-0.05019941765451533
AG-R,4.1667,a50_an_ba,0.0881080958481467
AG-R,4.1667,a75_a50_an,-0.14005006491403313
AG-R,4.1667,a75_an_ba,-0.051941969065886426
AG-R,5,a50_an_ba,0.09455025836518853
AG-R,5,a75_a50_an,-0.1481275671476986
AG-R,5,a75_an_ba,-0.05357730878251006
AG-R,5.8332999999999995,a50_an_ba,0.1000467351422065
AG-R,5.8332999999999995,a75_a50_an,-0.1551282557530881
AG-R,5.8332999999999995,a75_an_ba,-0.055081520610881625
AG-R,6.6667000000000005,a50_an_ba,0.10450737029835186
AG-R,6.6667000000000005,a75_a50_an,-0.16093342218764892
AG-R,6.6667000000000005,a75_an_ba,-0.05642605188929705
AG-R,7.5,a50_an_ba,0.10785984763681822
AG-R,7.5,a75_a50_an,-0.16543811812338452
AG-R,7.5,a75_an_ba,-0.05757827048656632
AG-R,8.3333,a50_an_ba,0.11005086720982953
AG-R,8.3333,a75_a50_an,-0.16855305776454083
AG-R,8.3333,a75_an_ba,-0.0585021905547113
AG-R,9.1667,a50_an_ba,0.11104693916094002
AG-R,9.1667,a75_a50_an,-0.17020628969830806
AG-R,9.1667,a75_an_ba,-0.059159350537368045
AG-R,10,a50_an_ba,0.11083478255649813
AG-R,10,a75_a50_an,-0.17034460531883672
AG-R,10,a75_an_ba,-0.0595098227623386
AG-R,10.833300000000001,a50_an_ba,0.10942132513285582
AG-R,10.833300000000001,a75_a50_an,-0.16893465538897814
AG-R,10.833300000000001,a75_an_ba,-0.05951333025612231
AG-R,11.6667,a50_an_ba,0.10683330811766445
AG-R,11.6667,a75_a50_an,-0.16596375141713016
AG-R,11.6667,a75_an_ba,-0.05913044329946569
AG-R,12.5,a50_an_ba,0.10311650835997806
AG-R,12.5,a75_a50_an,-0.1614403341319464
AG-R,12.5,a75_an_ba,-0.05832382577196832
AG-R,13.3333,a50_an_ba,0.09833459775721265
AG-R,13.3333,a75_a50_an,-0.15539409732870277
AG-R,13.3333,a75_an_ba,-0.05705949957149012
AG-R,14.1667,a50_an_ba,0.09256766723753493
AG-R,14.1667,a75_a50_an,-0.14787576162251015
AG-R,14.1667,a75_an_ba,-0.05530809438497523
AG-R,15,a50_an_ba,0.08591044919562545
AG-R,15,a75_a50_an,-0.13895649905417545
AG-R,15,a75_an_ba,-0.05304604985855002
AG-R,15.833300000000001,a50_an_ba,0.07847027815411776
AG-R,15.833300000000001,a75_a50_an,-0.12872701592952823
AG-R,15.833300000000001,a75_an_ba,-0.05025673777541046
AG-R,16.6667,a50_an_ba,0.07036483441550104
AG-R,16.6667,a75_a50_an,-0.11729630760655779
AG-R,16.6667,a75_an_ba,-0.04693147319105675
AG-R,17.5,a50_an_ba,0.06171971948267957
AG-R,17.5,a75_a50_an,-0.10479010505245644
AG-R,17.5,a75_an_ba,-0.04307038556977688
AG-R,18.3333,a50_an_ba,0.052665914984733005
AG-R,18.3333,a75_a50_an,-0.09134903875425589
AG-R,18.3333,a75_an_ba,-0.03868312376952288
AG-R,19.1667,a50_an_ba,0.043337178694688096
AG-R,19.1667,a75_a50_an,-0.0771265508683688
AG-R,19.1667,a75_an_ba,-0.03378937217368069
AG-R,20,a50_an_ba,0.0338674319389296
AG-R,20,a75_a50_an,-0.0622865912309416
AG-R,20,a75_an_ba,-0.028419159292012004
AG-R,20.833299999999998,a50_an_ba,0.024388192268192
AG-R,20.833299999999998,a75_a50_an,-0.04700113692841012
AG-R,20.833299999999998,a75_an_ba,-0.022612944660218126
AG-R,21.666700000000002,a50_an_ba,0.01502610370682028
AG-R,21.666700000000002,a75_a50_an,-0.03144757846477749
AG-R,21.666700000000002,a75_an_ba,-0.016421474757957213
AG-R,22.5,a50_an_ba,0.005900614262728196
AG-R,22.5,a75_a50_an,-0.015806018092242864
AG-R,22.5,a75_an_ba,-0.009905403829514664
AG-R,23.3333,a50_an_ba,-0.0028781532698731855
AG-R,23.3333,a75_a50_an,-2.565275440749772e-4
AG-R,23.3333,a75_an_ba,-0.003134680813948164
AG-R,24.1667,a50_an_ba,-0.011211295763536184
AG-R,24.1667,a75_a50_an,0.015023586810791497
AG-R,24.1667,a75_an_ba,0.003812291047255305
AG-R,25,a50_an_ba,-0.01901275342119141
AG-R,25,a75_a50_an,0.02986246349926656
AG-R,25,a75_an_ba,0.01084971007807515
AG-R,25.8333,a50_an_ba,-0.026210632715692368
AG-R,25.8333,a75_a50_an,0.04409626330303484
AG-R,25.8333,a75_an_ba,0.017885630587342473
AG-R,26.666700000000002,a50_an_ba,-0.03274820535060737
AG-R,26.666700000000002,a75_a50_an,0.05757159950613646
AG-R,26.666700000000002,a75_an_ba,0.02482339415552908
AG-R,27.5,a50_an_ba,-0.038584567091047565
AG-R,27.5,a75_a50_an,0.07014777886159587
AG-R,27.5,a75_an_ba,0.03156321177054831
AG-R,28.333299999999998,a50_an_ba,-0.04369494768671569
AG-R,28.333299999999998,a75_a50_an,0.08169881467184247
AG-R,28.333299999999998,a75_an_ba,0.03800386698512679
AG-R,29.1667,a50_an_ba,-0.048070670594866395
AG-R,29.1667,a75_a50_an,0.09211517766752543
AG-R,29.1667,a75_an_ba,0.04404450707265903
AG-R,30,a50_an_ba,-0.05171876864949382
AG-R,30,a75_a50_an,0.10130525530062819
AG-R,30,a75_an_ba,0.04958648665113437
AG-R,30.8333,a50_an_ba,-0.05466126905838674
AG-R,30.8333,a75_a50_an,0.10919649554403864
AG-R,30.8333,a75_an_ba,0.0545352264856519
AG-R,31.6667,a50_an_ba,-0.05693416799076639
AG-R,31.6667,a75_a50_an,0.11573621720364444
AG-R,31.6667,a75_an_ba,0.05880204921287805
AG-R,32.5,a50_an_ba,-0.0585861214030421
AG-R,32.5,a75_a50_an,0.12089207498499684
AG-R,32.5,a75_an_ba,0.062305953581954746
AG-R,33.3333,a50_an_ba,-0.05967688450835184
AG-R,33.3333,a75_a50_an,0.12465217399279631
AG-R,33.3333,a75_an_ba,0.06497528948444448
AG-R,34.1667,a50_an_ba,-0.06027553731104833
AG-R,34.1667,a75_a50_an,0.12702483485246058
AG-R,34.1667,a75_an_ba,0.06674929754141225
AG-R,35,a50_an_ba,-0.060458537800778304
AG-R,35,a75_a50_an,0.12803801710222984
AG-R,35,a75_an_ba,0.06757947930145154
AG-R,35.8333,a50_an_ba,-0.0603076476515847
AG-R,35.8333,a75_a50_an,0.1277384147864232
AG-R,35.8333,a75_an_ba,0.0674307671348385
AG-R,36.666700000000006,a50_an_ba,-0.059907777538963036
AG-R,36.666700000000006,a75_a50_an,0.1261902441642733
AG-R,36.666700000000006,a75_an_ba,0.06628246662531027
AG-R,37.5,a50_an_ba,-0.0593448004328014
AG-R,37.5,a75_a50_an,0.12347374901921275
AG-R,37.5,a75_an_ba,0.06412894858641134
AG-R,38.3333,a50_an_ba,-0.058703381429072415
AG-R,38.3333,a75_a50_an,0.11968345410412734
AG-R,38.3333,a75_an_ba,0.060980072675054925
AG-R,39.1667,a50_an_ba,-0.05806487185288343
AG-R,39.1667,a75_a50_an,0.11492620169325429
AG-R,39.1667,a75_an_ba,0.056861329840370865
AG-R,40,a50_an_ba,-0.05750531352624446
AG-R,40,a75_a50_an,0.1093190099478402
AG-R,40,a75_an_ba,0.051813696421595744
AG-R,40.8333,a50_an_ba,-0.057093596293264263
AG-R,40.8333,a75_a50_an,0.1029867947714565
AG-R,40.8333,a75_an_ba,0.04589319847819224
AG-R,41.6667,a50_an_ba,-0.05688980820063681
AG-R,41.6667,a75_a50_an,0.09605999897851046
AG-R,41.6667,a75_an_ba,0.03917019077787365
AG-R,42.5,a50_an_ba,-0.05694381322771423
AG-R,42.5,a75_a50_an,0.08867217388895927
AG-R,42.5,a75_an_ba,0.03172836066124505
AG-R,43.3333,a50_an_ba,-0.05729408625001036
AG-R,43.3333,a75_a50_an,0.08095755887377538
AG-R,43.3333,a75_an_ba,0.02366347262376502
AG-R,44.166700000000006,a50_an_ba,-0.057966829118336866
AG-R,44.166700000000006,a75_a50_an,0.07304870390691849
AG-R,44.166700000000006,a75_an_ba,0.015081874788581627
AG-R,45,a50_an_ba,-0.05897538547018336
AG-R,45,a75_a50_an,0.06507417884560104
AG-R,45,a75_an_ba,0.006098793375417679
AG-R,45.8333,a50_an_ba,-0.060319965296277624
AG-R,45.8333,a75_a50_an,0.05715641099358165
AG-R,45.8333,a75_an_ba,-0.0031635543026959753
AG-R,46.6667,a50_an_ba,-0.061987683505044286
AG-R,46.6667,a75_a50_an,0.0494096895505479
AG-R,46.6667,a75_an_ba,-0.01257799395449638
AG-R,47.5,a50_an_ba,-0.06395290990535756
AG-R,47.5,a75_a50_an,0.04193837187807969
AG-R,47.5,a75_an_ba,-0.02201453802727787
AG-R,48.3333,a50_an_ba,-0.06617792130738794
AG-R,48.3333,a75_a50_an,0.03483532219673906
AG-R,48.3333,a75_an_ba,-0.03134259911064888
AG-R,49.1667,a50_an_ba,-0.06861383996332712
AG-R,49.1667,a75_a50_an,0.028180608459389172
AG-R,49.1667,a75_an_ba,-0.04043323150393795
AG-R,50,a50_an_ba,-0.07120183646860154
AG-R,50,a75_a50_an,0.022040477823082143
AG-R,50,a75_an_ba,-0.04916135864551939
AG-R,50.8333,a50_an_ba,-0.07387456964538248
AG-R,50.8333,a75_a50_an,0.016466625474254627
AG-R,50.8333,a75_an_ba,-0.05740794417112785
AG-R,51.666700000000006,a50_an_ba,-0.0765578309476434
AG-R,51.666700000000006,a75_a50_an,0.011495765664147596
AG-R,51.666700000000006,a75_an_ba,-0.06506206528349581
AG-R,52.5,a50_an_ba,-0.07917235666081288
AG-R,52.5,a75_a50_an,0.007149507801582106
AG-R,52.5,a75_an_ba,-0.07202284885923077
AG-R,53.3333,a50_an_ba,-0.08163576770358243
AG-R,53.3333,a75_a50_an,0.0034345344481604605
AG-R,53.3333,a75_an_ba,-0.07820123325542197
AG-R,54.1667,a50_an_ba,-0.08386459424164128
AG-R,54.1667,a75_a50_an,3.4307218520556707e-4
AG-R,54.1667,a75_an_ba,-0.08352152205643572
AG-R,55,a50_an_ba,-0.08577634064140197
AG-R,55,a75_a50_an,-0.002146359312594705
AG-R,55,a75_an_ba,-0.08792269995399667
AG-R,55.8333,a50_an_ba,-0.08729154555510753
AG-R,55.8333,a75_a50_an,-0.004067939945320856
AG-R,55.8333,a75_an_ba,-0.09135948550042838
AG-R,56.6667,a50_an_ba,-0.08833579214616105
AG-R,56.6667,a75_a50_an,-0.005467308377290239
AG-R,56.6667,a75_an_ba,-0.0938031005234513
AG-R,57.5,a50_an_ba,-0.0888416246242748
AG-R,57.5,a75_a50_an,-0.006400116814364447
AG-R,57.5,a75_an_ba,-0.09524174143863925
