region,Time,condition,Value
PreSMA-L,-0,iaa_bi,0.09211116190524007
PreSMA-L,-0,vaa_ba,-0.14617332726633217
PreSMA-L,-0,vaa_iaa,-0.23828448917157222
PreSMA-L,0.8333,iaa_bi,0.09532937451693005
PreSMA-L,0.8333,vaa_ba,-0.16004701118124412
PreSMA-L,0.8333,vaa_iaa,-0.25537638569817417
PreSMA-L,1.6666999999999998,iaa_bi,0.09883566449027242
PreSMA-L,1.6666999999999998,vaa_ba,-0.1727806323786283
PreSMA-L,1.6666999999999998,vaa_iaa,-0.2716162968689007
PreSMA-L,2.5,iaa_bi,0.1026204333147324
PreSMA-L,2.5,vaa_ba,-0.18411772093626835
PreSMA-L,2.5,vaa_iaa,-0.28673815425100074
PreSMA-L,3.3333,iaa_bi,0.10666124648276143
PreSMA-L,3.3333,vaa_ba,-0.19382230190784364
PreSMA-L,3.3333,vaa_iaa,-0.3004835483906051
PreSMA-L,4.1667,iaa_bi,0.11092273835264234
PreSMA-L,4.1667,vaa_ba,-0.2016837897923669
PreSMA-L,4.1667,vaa_iaa,-0.3126065281450093
PreSMA-L,5,iaa_bi,0.11535686166723626
PreSMA-L,5,vaa_ba,-0.2075213973784557
PreSMA-L,5,vaa_iaa,-0.32287825904569195
PreSMA-L,5.8332999999999995,iaa_bi,0.11990348559414127
PreSMA-L,5.8332999999999995,vaa_ba,-0.2111879666395273
PreSMA-L,5.8332999999999995,vaa_iaa,-0.33109145223366854
PreSMA-L,6.6667000000000005,iaa_bi,0.1244913373274219
PreSMA-L,6.6667000000000005,vaa_ba,-0.21257314146028863
PreSMA-L,6.6667000000000005,vaa_iaa,-0.33706447878771056
PreSMA-L,7.5,iaa_bi,0.1290392733960093
PreSMA-L,7.5,vaa_ba,-0.21160581576619011
PreSMA-L,7.5,vaa_iaa,-0.3406450891621994
PreSMA-L,8.3333,iaa_bi,0.13345785808214
PreSMA-L,8.3333,vaa_ba,-0.208255805808318
PreSMA-L,8.3333,vaa_iaa,-0.34171366389045804
PreSMA-L,9.1667,iaa_bi,0.13765121798789934
PreSMA-L,9.1667,vaa_ba,-0.2025347115997734
PreSMA-L,9.1667,vaa_iaa,-0.34018592958767274
PreSMA-L,10,iaa_bi,0.14151913401637697
PreSMA-L,10,vaa_ba,-0.19449594945721066
PreSMA-L,10,vaa_iaa,-0.3360150834735876
PreSMA-L,10.833300000000001,iaa_bi,0.14495932506268425
PreSMA-L,10.833300000000001,vaa_ba,-0.1842339549095959
PreSMA-L,10.833300000000001,vaa_iaa,-0.32919327997228015
PreSMA-L,11.6667,iaa_bi,0.1478698717288811
PreSMA-L,11.6667,vaa_ba,-0.17188257252556657
PreSMA-L,11.6667,vaa_iaa,-0.3197524442544477
PreSMA-L,12.5,iaa_bi,0.15015172355451145
PreSMA-L,12.5,vaa_ba,-0.1576126661128287
PreSMA-L,12.5,vaa_iaa,-0.30776438966734015
PreSMA-L,13.3333,iaa_bi,0.15171122973352952
PreSMA-L,13.3333,vaa_ba,-0.14162899889854683
PreSMA-L,13.3333,vaa_iaa,-0.29334022863207637
PreSMA-L,14.1667,iaa_bi,0.15246263118188627
PreSMA-L,14.1667,vaa_ba,-0.12416644836710314
PreSMA-L,14.1667,vaa_iaa,-0.2766290795489894
PreSMA-L,15,iaa_bi,0.15233045120780014
PreSMA-L,15,vaa_ba,-0.10548563409329643
PreSMA-L,15,vaa_iaa,-0.25781608530109656
PreSMA-L,15.833300000000001,iaa_bi,0.15125172296303685
PreSMA-L,15.833300000000001,vaa_ba,-0.08586804887885957
PreSMA-L,15.833300000000001,vaa_iaa,-0.23711977184189642
PreSMA-L,16.6667,iaa_bi,0.14917799432552553
PreSMA-L,16.6667,vaa_ba,-0.06561079352914932
PreSMA-L,16.6667,vaa_iaa,-0.21478878785467487
PreSMA-L,17.5,iaa_bi,0.1460770548505537
PreSMA-L,17.5,vaa_ba,-0.04502102348857014
PreSMA-L,17.5,vaa_iaa,-0.19109807833912384
PreSMA-L,18.3333,iaa_bi,0.14193433486110613
PreSMA-L,18.3333,vaa_ba,-0.024410221128041552
PreSMA-L,18.3333,vaa_iaa,-0.16634455598914769
PreSMA-L,19.1667,iaa_bi,0.13675393352238532
PreSMA-L,19.1667,vaa_ba,-0.004088410636066458
PreSMA-L,19.1667,vaa_iaa,-0.14084234415845176
PreSMA-L,20,iaa_bi,0.1305592407214624
PreSMA-L,20,vaa_ba,0.015641566850664746
PreSMA-L,20,vaa_iaa,-0.11491767387079765
PreSMA-L,20.833299999999998,iaa_bi,0.12339312657872889
PreSMA-L,20.833299999999998,vaa_ba,0.03448960203482534
PreSMA-L,20.833299999999998,vaa_iaa,-0.08890352454390356
PreSMA-L,21.666700000000002,iaa_bi,0.11531768225376135
PreSMA-L,21.666700000000002,vaa_ba,0.05218357854455263
PreSMA-L,21.666700000000002,vaa_iaa,-0.0631341037092087
PreSMA-L,22.5,iaa_bi,0.10641350615117824
PreSMA-L,22.5,vaa_ba,0.06847424124934991
PreSMA-L,22.5,vaa_iaa,-0.03793926490182834
PreSMA-L,23.3333,iaa_bi,0.09677854044026951
PreSMA-L,23.3333,vaa_ba,0.08313957546604853
PreSMA-L,23.3333,vaa_iaa,-0.013638964974220978
PreSMA-L,24.1667,iaa_bi,0.08652647372094861
PreSMA-L,24.1667,vaa_ba,0.09598861142603668
PreSMA-L,24.1667,vaa_iaa,0.009462137705088067
PreSMA-L,25,iaa_bi,0.07578473643619257
PreSMA-L,25,vaa_ba,0.10686458083019003
PreSMA-L,25,vaa_iaa,0.031079844393997448
PreSMA-L,25.8333,iaa_bi,0.06469212598510861
PreSMA-L,25.8333,vaa_ba,0.11564736624389119
PreSMA-L,25.8333,vaa_iaa,0.05095524025878257
PreSMA-L,26.666700000000002,iaa_bi,0.05339610817440881
PreSMA-L,26.666700000000002,vaa_ba,0.12225519917711415
PreSMA-L,26.666700000000002,vaa_iaa,0.06885909100270533
PreSMA-L,27.5,iaa_bi,0.04204985041408129
PreSMA-L,27.5,vaa_ba,0.12664557862680806
PreSMA-L,27.5,vaa_iaa,0.08459572821272679
PreSMA-L,28.333299999999998,iaa_bi,0.03080904968867487
PreSMA-L,28.333299999999998,vaa_ba,0.12881539828714347
PreSMA-L,28.333299999999998,vaa_iaa,0.0980063485984686
PreSMA-L,29.1667,iaa_bi,0.019828624615120697
PreSMA-L,29.1667,vaa_ba,0.1288002872055684
PreSMA-L,29.1667,vaa_iaa,0.1089716625904477
PreSMA-L,30,iaa_bi,0.009259345657063732
PreSMA-L,30,vaa_ba,0.12667318502581618
PreSMA-L,30,vaa_iaa,0.11741383936875242
PreSMA-L,30.8333,iaa_bi,-7.555193368687205e-4
