"region","lower","upper","Value"
"AGR",100,110,0.0229796922514997
"AGR",110,120,0.0120098553892085
"AGR",120,130,-0.00923904364297887
"AGR",130,140,0.033718390800858
"AGR",140,150,0.0957853794512001
"AGR",150,160,0.116368570557133
"AGR",160,170,0.109248293949766
"AGR",170,180,0.0753236721571362
"AGR",180,190,-0.011975610498376
"AGR",190,200,-0.101701310161119
"AGR",200,210,-0.0945969124144421
"AGR",210,220,0.00800664796689773
"AGR",220,230,0.0898741881049224
"AGR",230,240,0.0584394029656874
"AGR",240,250,-0.0531589918403848
"AGR",250,260,-0.126465727997118
"AGR",260,270,-0.101432008503192
"AGR",270,280,-0.0548079132116616
"AGR",280,290,-0.0774639141224589
"AGR",290,300,-0.124615680107185
"AGR",300,310,-0.0971627232698176
"AGR",310,320,-0.0107793915216885
"AGR",320,330,0.0438721034312477
"AGR",330,340,0.0470984361136074
"AGR",340,350,0.0441392856256501
"AGR",350,360,0.0496972865680246
"AGR",360,370,0.0329501654320698
"AGR",370,380,-0.0362917511121444
"AGR",380,390,-0.143336841862787
"AGR",390,400,-0.222617478120137
"AGR",400,410,-0.232168890879582
"AGR",410,420,-0.210243912483729
"AGR",420,430,-0.191405594319308
"AGR",430,440,-0.13941465167893
"AGR",440,450,-0.0525427254241003
"AGR",450,460,-0.0206434411433017
"AGR",460,470,-0.0795664789456874
"AGR",470,480,-0.1419060277544
"AGR",480,490,-0.150775212256971
"AGR",490,500,-0.157267482982394
"AGR",500,510,-0.189190505098606
"AGR",510,520,-0.187422066945238
"AGR",520,530,-0.122510130051811
"AGR",530,540,-0.0598434162598888
"AGR",540,550,-0.0601900030311803
"AGR",550,560,-0.0885407185965453
"AGR",560,570,-0.0806794173776066
"AGR",570,580,-0.0639622285319241
"AGR",580,590,-0.116573867750661
"AGR",590,600,-0.204485760973324
"AGR",600,610,-0.202597544776401
"AGR",610,620,-0.112961970011915
"AGR",620,630,-0.0768051128935137
"AGR",630,640,-0.127840790559303
"AGR",640,650,-0.153373272904534
"AGR",650,660,-0.123407060398171
"AGR",660,670,-0.11694577175966
"AGR",670,680,-0.132424754309533
"AGR",680,690,-0.108992460386639
"AGR",690,700,-0.0801297866904229
"DLPFCR",100,110,-0.0934970187190953
"DLPFCR",110,120,0.0159977162989708
"DLPFCR",120,130,0.087317861196748
"DLPFCR",130,140,0.0466914205484202
"DLPFCR",140,150,-0.0438458816063429
"DLPFCR",150,160,-0.00584624515117212
"DLPFCR",160,170,0.081260028132152
"DLPFCR",170,180,-0.00413936480789201
"DLPFCR",180,190,-0.173131819322034
"DLPFCR",190,200,-0.207133230562038
"DLPFCR",200,210,-0.157209789682935
"DLPFCR",210,220,-0.153499804346357
"DLPFCR",220,230,-0.175061933757845
"DLPFCR",230,240,-0.209699221274342
"DLPFCR",240,250,-0.269973561736732
"DLPFCR",250,260,-0.280321500994994
"DLPFCR",260,270,-0.222577679269493
"DLPFCR",270,280,-0.182482277096913
"DLPFCR",280,290,-0.147958043427652
"DLPFCR",290,300,-0.064429657036238
"DLPFCR",300,310,-0.0218960145021124
"DLPFCR",310,320,-0.0912187196975749
"DLPFCR",320,330,-0.155919753832433
"DLPFCR",330,340,-0.117612771292623
"DLPFCR",340,350,-0.0590539231459198
"DLPFCR",350,360,-0.10078069280495
"DLPFCR",360,370,-0.245040190089856
"DLPFCR",370,380,-0.366808793783103
"DLPFCR",380,390,-0.321495600305704
"DLPFCR",390,400,-0.129625080283505
"DLPFCR",400,410,0.00156484865423665
"DLPFCR",410,420,-0.0614164691023605
"DLPFCR",420,430,-0.20034682409001
"DLPFCR",430,440,-0.228216498210834
"DLPFCR",440,450,-0.144547115470949
"DLPFCR",450,460,-0.0933760395594163
"DLPFCR",460,470,-0.128661803465783
"DLPFCR",470,480,-0.162821300775694
"DLPFCR",480,490,-0.137643242584563
"DLPFCR",490,500,-0.0877031018907297
"DLPFCR",500,510,-0.0515581504170583
"DLPFCR",510,520,-0.0892227055847946
