"region","lower","upper","Value"
"MTGR",200,210,0.246327595716294
"MTGR",210,220,0.367172605916933
"MTGR",220,230,0.687780837731654
"MTGR",230,240,0.956628530708493
"MTGR",240,250,0.989088910139626
"MTGR",250,260,0.871607210540201
"MTGR",260,270,0.78884382568472
"MTGR",270,280,0.818511106744584
"MTGR",280,290,0.960896105476521
"MTGR",290,300,1.18457958964527
"MTGR",300,310,1.33168430974204
"MTGR",310,320,1.25799985987329
"MTGR",320,330,1.13774884535154
"MTGR",330,340,1.21124518882942
"MTGR",340,350,1.32813887432188
"MTGR",350,360,1.28210220295748
"MTGR",360,370,1.24361752503134
"MTGR",370,380,1.3089339739829
"MTGR",380,390,1.25530802454082
"MTGR",390,400,1.13040795484431
"MTGR",400,410,1.21336520358974
"MTGR",410,420,1.32084445863443
"MTGR",420,430,1.13953774831184
"MTGR",430,440,0.947335126397286
"MTGR",440,450,1.08235190941151
"MTGR",450,460,1.30917156030221
"MTGR",460,470,1.3785144513565
"MTGR",470,480,1.42174623924794
"MTGR",480,490,1.47913798997966
"MTGR",490,500,1.41946792718887
"MTGR",500,510,1.3024862908916
"MTGR",510,520,1.26278278791792
"MTGR",520,530,1.30648696845091
"MTGR",530,540,1.43528810982057
"MTGR",540,550,1.60285229053584
"MTGR",550,560,1.67152827525898
"MTGR",560,570,1.68000958889608
"MTGR",570,580,1.76890638251011
"MTGR",580,590,1.81057350998069
"MTGR",590,600,1.64797819072488
"MTGR",600,610,1.48387449313191
"MTGR",610,620,1.49932880634796
"MTGR",620,630,1.49898461328045
"MTGR",630,640,1.37048732014839
"MTGR",640,650,1.37477413455019
"MTGR",650,660,1.63348607431588
"MTGR",660,670,1.83231057936205
"MTGR",670,680,1.73273540561654
"MTGR",680,690,1.55878516369763
"MTGR",690,700,1.57827341027383
"MTGR",700,710,1.67852821840862
"MTGR",710,720,1.70510356905567
"MTGR",720,730,1.78913315885823
"MTGR",730,740,1.94064949098764
"MTGR",740,750,1.89637292243697
"MTGR",750,760,1.72794650878493
"MTGR",760,770,1.81000327242504
"MTGR",770,780,2.0135794559617
"MTGR",780,790,1.92649496842799
"MTGR",790,800,1.72037679217231
"MTGR",800,810,1.71150692395456
"MTGR",810,820,1.63658391329156
"MTGR",820,830,1.36954083441223
"MTGR",830,840,1.3613302747922
"MTGR",840,850,1.63188989962858
"MTGR",850,860,1.62118496929261
"MTGR",860,870,1.35483282883616
"MTGR",870,880,1.35476792149658
"MTGR",880,890,1.54372334791887
"MTGR",890,900,1.51618736903919
"PostcentralL",200,210,0.858452271340542
"PostcentralL",210,220,0.832779476354784
"PostcentralL",220,230,0.772000405833933
"PostcentralL",230,240,0.918969262908481
"PostcentralL",240,250,1.17526628520526
"PostcentralL",250,260,1.19786388501186
"PostcentralL",260,270,1.01564021748531
"PostcentralL",270,280,1.00871668232434
"PostcentralL",280,290,1.26176900858318
"PostcentralL",290,300,1.46088511970522
"PostcentralL",300,310,1.3901329099307
"PostcentralL",310,320,1.16180288818059
"PostcentralL",320,330,1.02874623270941
"PostcentralL",330,340,1.10267911007838
"PostcentralL",340,350,1.23142239709379
"PostcentralL",350,360,1.26823449265863
"PostcentralL",360,370,1.33995933592363
"PostcentralL",370,380,1.51989216577432
"PostcentralL",380,390,1.54273224621626
"PostcentralL",390,400,1.28289835827162
"PostcentralL",400,410,1.06247384261058
"PostcentralL",410,420,1.10350849982018
"PostcentralL",420,430,1.22622366989192
"PostcentralL",430,440,1.29895268242933
"PostcentralL",440,450,1.4025530863708
"PostcentralL",450,460,1.51385353798865
"PostcentralL",460,470,1.52181176847091
"PostcentralL",470,480,1.46229705049839
"PostcentralL",480,490,1.43996912654388
"PostcentralL",490,500,1.48946304957266
"PostcentralL",500,510,1.59075150224382
"PostcentralL",510,520,1.65897188319982
"PostcentralL",520,530,1.6223247284432
"PostcentralL",530,540,1.57461698049925
"PostcentralL",540,550,1.62484507565424
"PostcentralL",550,560,1.66938548758542
"PostcentralL",560,570,1.59383748462607
"PostcentralL",570,580,1.50569241485004
"PostcentralL",580,590,1.50459458896222
"PostcentralL",590,600,1.50059147878249
"PostcentralL",600,610,1.4583055509083
"PostcentralL",610,620,1.50142733040129
"PostcentralL",620,630,1.64842374519075
"PostcentralL",630,640,1.75392209335554
"PostcentralL",640,650,1.75850603086392
"PostcentralL",650,660,1.71887943746502
"PostcentralL",660,670,1.63259210598692
"PostcentralL",670,680,1.5033476664684
"PostcentralL",680,690,1.47443580617225
"PostcentralL",690,700,1.6183449022057
"PostcentralL",700,710,1.73102647279998
"PostcentralL",710,720,1.61552385297287
"PostcentralL",720,730,1.41801125193034
"PostcentralL",730,740,1.40433246632722
"PostcentralL",740,750,1.54573575372704
"PostcentralL",750,760,1.60235437382934
"PostcentralL",760,770,1.52664647199106
"PostcentralL",770,780,1.50957583847748
"PostcentralL",780,790,1.61371109524846
"PostcentralL",790,800,1.62846260435703
"PostcentralL",800,810,1.43803467629077
"PostcentralL",810,820,1.27600414862212
"PostcentralL",820,830,1.35347884384176
"PostcentralL",830,840,1.5101139125552
"PostcentralL",840,850,1.55352848908963
"PostcentralL",850,860,1.59705438927297
"PostcentralL",860,870,1.72450920903819
"PostcentralL",870,880,1.74773983831223
"PostcentralL",880,890,1.59197434980045
"PostcentralL",890,900,1.45499411369679
