subject,condition,trial,band,angle_rad
10,a50_an,1,Delta,3.151158236076356
10,a50_an,2,Delta,2.497830149557833
10,a50_an,3,Delta,2.9975479058594416
10,a50_an,4,Delta,4.4906008270785405
10,a50_an,5,Delta,2.1179294378768607
10,a50_an,6,Delta,2.3553255763953755
10,a50_an,7,Delta,6.077537798574982
10,a50_an,8,Delta,5.555280637865334
10,a50_an,9,Delta,1.260427142888784
10,a50_an,10,Delta,2.222060256842134
10,a50_an,11,Delta,1.6920348851888771
10,a50_an,12,Delta,4.532048842224108
10,a50_an,13,Delta,1.4264953817034254
10,a50_an,14,Delta,1.642085762608221
10,a50_an,15,Delta,3.09472918578456
10,a50_an,16,Delta,1.889409924641044
10,a50_an,17,Delta,4.875695069503452
10,a50_an,18,Delta,5.006321889609415
10,a50_an,19,Delta,2.36045612796025
10,a50_an,20,Delta,1.587896673754656
10,a50_an,21,Delta,5.762996603569853
10,a50_an,22,Delta,1.6335839800499445
10,a50_an,23,Delta,3.839745590579851
10,a50_an,24,Delta,2.679883148774741
10,a50_an,25,Delta,3.8757319567668422
10,a50_an,26,Delta,1.5515555879041207
10,a50_an,27,Delta,6.260126018841675
10,a50_an,28,Delta,1.676965903554219
10,a50_an,29,Delta,5.380534931199157
10,a50_an,30,Delta,2.9532588482194453
10,a50_an,1,Theta,3.8190386619887366
10,a50_an,2,Theta,3.825216309635319
10,a50_an,3,Theta,2.60124347351123
10,a50_an,4,Theta,4.573305010334524
10,a50_an,5,Theta,1.8717769112032152
10,a50_an,6,Theta,3.7699166478003754
10,a50_an,7,Theta,1.2935798238868461
10,a50_an,8,Theta,5.239818362725481
10,a50_an,9,Theta,0.5782685562230421
10,a50_an,10,Theta,3.8639601845313303
10,a50_an,11,Theta,1.827069794147449
10,a50_an,12,Theta,4.526650588271121
10,a50_an,13,Theta,1.4791718950670825
10,a50_an,14,Theta,0.6804477430502669
10,a50_an,15,Theta,3.3445018305431597
10,a50_an,16,Theta,2.3472518332129213
10,a50_an,17,Theta,5.54600343034763
10,a50_an,18,Theta,5.354998045092441
10,a50_an,19,Theta,2.5266861137723127
10,a50_an,20,Theta,1.2636144468960073
10,a50_an,21,Theta,5.611740244571988
10,a50_an,22,Theta,5.033871566890715
10,a50_an,23,Theta,1.8576753936556867
10,a50_an,24,Theta,2.8585594086305504
10,a50_an,25,Theta,4.082806846108154
10,a50_an,26,Theta,1.4560136218401174
10,a50_an,27,Theta,0.02203715534221843
10,a50_an,28,Theta,1.5831011424451564
10,a50_an,29,Theta,5.151439372535864
10,a50_an,30,Theta,2.8556164058437643
10,a50_an,1,Alpha,3.473841865027867
10,a50_an,2,Alpha,4.306712423607996
10,a50_an,3,Alpha,1.6852491314386804
10,a50_an,4,Alpha,3.6008816676057083
10,a50_an,5,Alpha,2.55709237158371
10,a50_an,6,Alpha,4.906799116383565
10,a50_an,7,Alpha,1.7576616626604518
10,a50_an,8,Alpha,2.3124922398361267
10,a50_an,9,Alpha,2.3347704887337932
10,a50_an,10,Alpha,5.956830728448493
10,a50_an,11,Alpha,1.0139401100193663
10,a50_an,12,Alpha,5.835460709017547
10,a50_an,13,Alpha,3.3127217090919783
10,a50_an,14,Alpha,0.04214279431832176
10,a50_an,15,Alpha,3.0060098603967544
10,a50_an,16,Alpha,1.2735655958804326
10,a50_an,17,Alpha,0.3247788280970989
10,a50_an,18,Alpha,6.057786058710223
10,a50_an,19,Alpha,0.8010422985523437
10,a50_an,20,Alpha,1.433497551592329
10,a50_an,21,Alpha,3.6168654912362816
10,a50_an,22,Alpha,5.24214714507603
10,a50_an,23,Alpha,0.9580338901038891
10,a50_an,24,Alpha,2.948909057735017
10,a50_an,25,Alpha,4.667536309867869
10,a50_an,26,Alpha,4.704890071249993
10,a50_an,27,Alpha,0.03977275590636935
10,a50_an,28,Alpha,2.2326232790609994
10,a50_an,29,Alpha,1.788057015332035
10,a50_an,30,Alpha,0.7313136758878475
10,a50_an,1,Beta,5.650055107883598
10,a50_an,2,Beta,5.020606926566749
10,a50_an,3,Beta,0.8592206353222406
10,a50_an,4,Beta,1.6387290579919327
10,a50_an,5,Beta,0.4356578442665539
10,a50_an,6,Beta,5.720045876517368
10,a50_an,7,Beta,5.2500138887291685
10,a50_an,8,Beta,0.9819331686472524
10,a50_an,9,Beta,1.7283326273951545
10,a50_an,10,Beta,5.530515847874405
10,a50_an,11,Beta,1.0276988703304142
10,a50_an,12,Beta,0.6455048730493014
10,a50_an,13,Beta,3.914619835512364
10,a50_an,14,Beta,2.6448157807569674
10,a50_an,15,Beta,1.6522443383858976
10,a50_an,16,Beta,0.4738224188836005
10,a50_an,17,Beta,5.824243015307133
10,a50_an,18,Beta,1.2894938013363406
10,a50_an,19,Beta,2.811040831272569
10,a50_an,20,Beta,0.5455077398343162
10,a50_an,21,Beta,2.425943505048692
10,a50_an,22,Beta,1.4250028128383776
10,a50_an,23,Beta,2.203887152046879
10,a50_an,24,Beta,2.8717311640908303
10,a50_an,25,Beta,1.8278621839465703
10,a50_an,26,Beta,4.592411384875584
10,a50_an,27,Beta,0.017975268360100754
10,a50_an,28,Beta,6.042285704650283
10,a50_an,29,Beta,1.101357665905544
10,a50_an,30,Beta,0.49571645419833166
10,a75_an,1,Delta,2.9621005476261972
10,a75_an,2,Delta,2.060575227073575
10,a75_an,3,Delta,3.110370137806211
10,a75_an,4,Delta,2.2021018325039154
10,a75_an,5,Delta,3.0873708022769564
10,a75_an,6,Delta,4.988361029822017
10,a75_an,7,Delta,4.804624046302726
10,a75_an,8,Delta,1.5041758258289493
10,a75_an,9,Delta,1.1818426927433687
10,a75_an,10,Delta,5.827456414952287
