subject,condition,trial,band,angle_rad
10,a50_an,1,Delta,4.5495167060852175
10,a50_an,2,Delta,0.6409114020652609
10,a50_an,3,Delta,1.8891347233942328
10,a50_an,4,Delta,0.8796516102257617
10,a50_an,5,Delta,1.9250531969092965
10,a50_an,6,Delta,3.228234985902068
10,a50_an,7,Delta,3.3107827660984066
10,a50_an,8,Delta,0.13728428561173192
10,a50_an,9,Delta,4.351488997403293
10,a50_an,10,Delta,3.8157569573072045
10,a50_an,11,Delta,1.7955767995627951
10,a50_an,12,Delta,4.321294668478523
10,a50_an,13,Delta,5.084619461350879
10,a50_an,14,Delta,4.768101921144853
10,a50_an,15,Delta,2.2911753789760447
10,a50_an,16,Delta,1.771969995801714
10,a50_an,17,Delta,4.488708597852301
10,a50_an,18,Delta,2.5974372419981075
10,a50_an,19,Delta,4.925172654709799
10,a50_an,20,Delta,0.30744016340055064
10,a50_an,21,Delta,4.4879267942242365
10,a50_an,22,Delta,4.526115955146352
10,a50_an,23,Delta,4.931447119250019
10,a50_an,24,Delta,1.515402672674514
10,a50_an,25,Delta,6.037650018481428
10,a50_an,26,Delta,4.468996977360223
10,a50_an,27,Delta,4.475670662620141
10,a50_an,28,Delta,4.669644998212445
10,a50_an,29,Delta,1.1725915188178544
10,a50_an,30,Delta,2.8886877757972846
10,a50_an,1,Theta,2.726427265603764
10,a50_an,2,Theta,0.316027172054877
10,a50_an,3,Theta,6.256396061879524
10,a50_an,4,Theta,0.796097331223978
10,a50_an,5,Theta,1.0798154179432589
10,a50_an,6,Theta,3.534661770912892
10,a50_an,7,Theta,0.8524592872186739
10,a50_an,8,Theta,1.4532958526282644
10,a50_an,9,Theta,1.9935958189691956
10,a50_an,10,Theta,4.658899393938816
10,a50_an,11,Theta,2.2183676782496033
10,a50_an,12,Theta,4.551768805477496
10,a50_an,13,Theta,0.4210703135910302
10,a50_an,14,Theta,0.6087092582022428
10,a50_an,15,Theta,3.9249671253742004
10,a50_an,16,Theta,2.430672302913831
10,a50_an,17,Theta,3.1799269540498423
10,a50_an,18,Theta,2.5578173030142723
10,a50_an,19,Theta,4.719787930218215
10,a50_an,20,Theta,0.17891476858285194
10,a50_an,21,Theta,5.193557259485006
10,a50_an,22,Theta,4.897214782859493
10,a50_an,23,Theta,5.611719428758881
10,a50_an,24,Theta,0.6249065389171233
10,a50_an,25,Theta,5.994982098772117
10,a50_an,26,Theta,2.302243351598189
10,a50_an,27,Theta,4.064562118787485
10,a50_an,28,Theta,0.6692143897700019
10,a50_an,29,Theta,1.333727521611099
10,a50_an,30,Theta,1.9103001042971237
10,a50_an,1,Alpha,0.7663150033415338
10,a50_an,2,Alpha,5.756998702305779
10,a50_an,3,Alpha,0.2443053306275445
10,a50_an,4,Alpha,0.38892071284552554
10,a50_an,5,Alpha,4.29556255741339
10,a50_an,6,Alpha,5.447147289285347
10,a50_an,7,Alpha,0.24131935236718743
10,a50_an,8,Alpha,2.284184820560871
10,a50_an,9,Alpha,1.380085835624578
10,a50_an,10,Alpha,0.2740571671006541
10,a50_an,11,Alpha,4.158746233799065
10,a50_an,12,Alpha,5.783941944158725
10,a50_an,13,Alpha,1.0096254619634264
10,a50_an,14,Alpha,0.7210983686112736
10,a50_an,15,Alpha,3.8416703215100196
10,a50_an,16,Alpha,2.007084490203708
10,a50_an,17,Alpha,2.3867313322198247
10,a50_an,18,Alpha,2.0337437289220053
10,a50_an,19,Alpha,3.728231197680947
10,a50_an,20,Alpha,4.116136342881294
10,a50_an,21,Alpha,5.344499259857793
10,a50_an,22,Alpha,0.27112479968098857
10,a50_an,23,Alpha,5.705883494317203
