subject,condition,trial,band,angle_rad
10,is_s,1,Delta,2.337912181381601
10,is_s,2,Delta,4.389121055772087
10,is_s,3,Delta,0.8663365140961999
10,is_s,4,Delta,1.754519373227102
10,is_s,5,Delta,5.744969447869338
10,is_s,6,Delta,5.854172539766299
10,is_s,7,Delta,3.2169842779877986
10,is_s,8,Delta,1.8552996927584264
10,is_s,9,Delta,2.70401585634358
10,is_s,10,Delta,2.1546319575189625
10,is_s,11,Delta,4.992817337501453
10,is_s,12,Delta,2.2354693244037875
10,is_s,13,Delta,1.0400593698674878
10,is_s,14,Delta,3.843853109648511
10,is_s,15,Delta,2.5016488539562665
10,is_s,16,Delta,2.6524024196381353
10,is_s,17,Delta,2.6245053670770635
10,is_s,18,Delta,1.8380538965068884
10,is_s,19,Delta,5.737614634043225
10,is_s,20,Delta,6.087899996430069
10,is_s,21,Delta,1.2586937826057025
10,is_s,22,Delta,5.783311906412482
10,is_s,23,Delta,3.8696549586017372
10,is_s,24,Delta,2.5968489727366926
10,is_s,25,Delta,1.5017753293410498
10,is_s,26,Delta,2.4395603183832497
10,is_s,27,Delta,2.364591610103078
10,is_s,28,Delta,1.9887335169095923
10,is_s,29,Delta,3.4218344786717494
10,is_s,30,Delta,0.598139339442898
10,is_s,31,Delta,2.93947386218353
10,is_s,32,Delta,2.5112001540716715
10,is_s,33,Delta,1.870994235317375
10,is_s,34,Delta,5.026747599936707
10,is_s,35,Delta,4.295204335604362
10,is_s,36,Delta,1.414093838942808
10,is_s,38,Delta,1.0487450620497751
10,is_s,39,Delta,2.8886365544956125
10,is_s,40,Delta,1.348559593713632
10,is_s,41,Delta,1.3097167963051697
10,is_s,42,Delta,4.154417340004587
10,is_s,43,Delta,2.0963241614979813
10,is_s,44,Delta,2.282280455423503
10,is_s,45,Delta,1.1610217741115154
10,is_s,46,Delta,2.157831646446356
10,is_s,48,Delta,1.7696734179683615
10,is_s,49,Delta,2.379565709552988
10,is_s,50,Delta,1.2589736910492002
10,is_s,51,Delta,6.2671301849031105
10,is_s,52,Delta,1.8421769759441062
10,is_s,53,Delta,2.625399353298714
10,is_s,54,Delta,0.8530992393063321
10,is_s,55,Delta,1.856834461757338
10,is_s,56,Delta,2.859311939505182
10,is_s,57,Delta,1.5353496533128432
10,is_s,58,Delta,2.4496278919530137
10,is_s,59,Delta,0.9834692208109802
10,is_s,60,Delta,1.8097552220839468
10,is_s,1,Theta,2.787978367638588
10,is_s,2,Theta,4.570264824271792
10,is_s,3,Theta,1.1450200451538994
10,is_s,4,Theta,3.2593600286475177
10,is_s,5,Theta,6.083164515561472
10,is_s,6,Theta,5.059830412761213
10,is_s,7,Theta,3.060683119914326
10,is_s,8,Theta,1.363767829216485
