subject,condition,trial,band,angle_rad
10,ia_a,1,Delta,3.1790477657134044
10,ia_a,2,Delta,1.801628143361431
10,ia_a,3,Delta,0.6625287175281505
10,ia_a,4,Delta,0.3008410816038517
10,ia_a,5,Delta,1.2894981330963247
10,ia_a,6,Delta,4.72189726002524
10,ia_a,7,Delta,1.2035600434879543
10,ia_a,8,Delta,5.749775786894146
10,ia_a,9,Delta,5.346155101354162
10,ia_a,10,Delta,1.301421863684698
10,ia_a,11,Delta,2.0049678748040702
10,ia_a,12,Delta,5.371081887584879
10,ia_a,13,Delta,1.0197421810680432
10,ia_a,14,Delta,1.522509998841082
10,ia_a,15,Delta,1.4089545881858452
10,ia_a,16,Delta,1.8669834673675927
10,ia_a,17,Delta,5.697920457476978
10,ia_a,18,Delta,0.6351340039772475
10,ia_a,19,Delta,1.0554948740110783
10,ia_a,20,Delta,1.6824549542628386
10,ia_a,21,Delta,1.0778528376567529
10,ia_a,22,Delta,1.595618488623051
10,ia_a,23,Delta,0.7632376903824706
10,ia_a,24,Delta,0.8193050515810467
10,ia_a,25,Delta,3.445347963748127
10,ia_a,26,Delta,2.567407286805227
10,ia_a,27,Delta,4.398789936627503
10,ia_a,28,Delta,4.035061823291168
10,ia_a,29,Delta,5.6648545741275385
10,ia_a,30,Delta,1.409613842609773
10,ia_a,31,Delta,0.4930310088544219
10,ia_a,32,Delta,4.519592497148678
10,ia_a,33,Delta,5.37665839524167
10,ia_a,34,Delta,3.4756295817134313
10,ia_a,35,Delta,2.2898984787017893
10,ia_a,36,Delta,5.067089876966941
10,ia_a,37,Delta,2.517478939950635
10,ia_a,38,Delta,4.914056530533333
10,ia_a,39,Delta,4.735742141884254
10,ia_a,40,Delta,1.657620601600636
10,ia_a,41,Delta,5.203776487637173
10,ia_a,42,Delta,1.357291364853734
10,ia_a,43,Delta,1.0673926431452183
10,ia_a,44,Delta,4.069186093736935
10,ia_a,45,Delta,3.2599009420719454
10,ia_a,46,Delta,1.946861614256793
