subject,condition,trial,band,angle_rad
10,ia_a,1,Delta,4.887119786333724
10,ia_a,2,Delta,5.909204448687847
10,ia_a,3,Delta,1.5364763018541368
10,ia_a,4,Delta,0.8478914981142464
10,ia_a,5,Delta,1.5188678232498558
10,ia_a,6,Delta,4.361669211973407
10,ia_a,7,Delta,3.6089717974191724
10,ia_a,8,Delta,3.048342683815101
10,ia_a,9,Delta,2.2201289028738347
10,ia_a,10,Delta,4.613454922792011
10,ia_a,11,Delta,5.185360946476241
10,ia_a,12,Delta,5.4691863461570485
10,ia_a,13,Delta,0.7882917092626915
10,ia_a,14,Delta,0.30023927850021115
10,ia_a,15,Delta,4.385407354136079
10,ia_a,16,Delta,0.928446813089688
10,ia_a,17,Delta,4.201404224824643
10,ia_a,18,Delta,2.660942891207017
10,ia_a,19,Delta,5.183925563314872
10,ia_a,20,Delta,0.36219908346533436
10,ia_a,21,Delta,5.392110420086411
10,ia_a,22,Delta,3.796934856887086
10,ia_a,23,Delta,1.0016309020761984
10,ia_a,24,Delta,1.7853880657106258
10,ia_a,25,Delta,6.013738096348299
10,ia_a,26,Delta,1.4119525910781117
10,ia_a,27,Delta,1.3189447214396741
10,ia_a,28,Delta,5.3653755969329575
10,ia_a,29,Delta,1.3950430218253271
10,ia_a,30,Delta,1.3043286960114606
10,ia_a,31,Delta,5.015323164456824
10,ia_a,32,Delta,1.29255831822189
10,ia_a,33,Delta,3.3594851184410266
10,ia_a,34,Delta,4.599909536509256
10,ia_a,35,Delta,0.48268804974212776
10,ia_a,36,Delta,5.293375542952472
10,ia_a,37,Delta,3.940255074158978
10,ia_a,38,Delta,0.8391052277827541
10,ia_a,39,Delta,0.6884652826019539
10,ia_a,40,Delta,4.501817387932231
10,ia_a,41,Delta,1.2748474890905255
10,ia_a,42,Delta,5.20043298097033
10,ia_a,43,Delta,4.659080200779627
10,ia_a,44,Delta,5.548329077320499
10,ia_a,45,Delta,5.046117213549658
10,ia_a,46,Delta,3.0645550413927927
10,ia_a,47,Delta,4.06563070575724
10,ia_a,48,Delta,4.498422310825962
10,ia_a,49,Delta,2.246341745416922
10,ia_a,50,Delta,4.586156156153605
10,ia_a,51,Delta,1.584562623542048
10,ia_a,52,Delta,2.1479300217473085
10,ia_a,53,Delta,3.867643195025141
10,ia_a,54,Delta,5.25997806852779
10,ia_a,55,Delta,4.731282193095544
10,ia_a,56,Delta,2.844259025395293
10,ia_a,57,Delta,5.9351069521463184
10,ia_a,58,Delta,1.3271439011724326
10,ia_a,59,Delta,2.294097538466778
10,ia_a,60,Delta,6.230637223232393
10,ia_a,1,Theta,5.455957041812269
10,ia_a,2,Theta,4.382336359063845
10,ia_a,3,Theta,0.9766266382392773
10,ia_a,4,Theta,0.07234540422746837
10,ia_a,5,Theta,5.972191727963253
10,ia_a,6,Theta,4.113092136639018
10,ia_a,7,Theta,2.9983223993362196
10,ia_a,8,Theta,3.351333607304616
10,ia_a,9,Theta,4.106276487719476
10,ia_a,10,Theta,4.309764523002856
10,ia_a,11,Theta,5.2908527627602275
10,ia_a,12,Theta,5.593777992973955
10,ia_a,13,Theta,0.8603475705391633
10,ia_a,14,Theta,5.678699008036139
10,ia_a,15,Theta,4.680193380574892
10,ia_a,16,Theta,0.10596689033247716
10,ia_a,17,Theta,4.866197891937152
10,ia_a,18,Theta,3.2395725438698384
10,ia_a,19,Theta,5.592146093344125
10,ia_a,20,Theta,1.8710544283828086
10,ia_a,21,Theta,4.887901236064594
10,ia_a,22,Theta,2.713943633859939
10,ia_a,23,Theta,1.4865531526360487
10,ia_a,24,Theta,0.2649413205756457
10,ia_a,25,Theta,6.144621570093211
10,ia_a,26,Theta,1.043942218283106
10,ia_a,27,Theta,0.505787003628176
10,ia_a,28,Theta,5.869571601144437
10,ia_a,29,Theta,1.0977029091525639
10,ia_a,30,Theta,4.377988716460764
10,ia_a,31,Theta,5.889087046144373
10,ia_a,32,Theta,1.9693400316885155
10,ia_a,33,Theta,3.1460463556858125
10,ia_a,34,Theta,5.218248868697243
10,ia_a,35,Theta,1.3806784533433516
10,ia_a,36,Theta,6.270435833729073
10,ia_a,37,Theta,3.861129853565089
10,ia_a,38,Theta,0.9337552614079864
10,ia_a,39,Theta,0.6456486193543965
10,ia_a,40,Theta,3.223365598267097
10,ia_a,41,Theta,1.0294344739970298
10,ia_a,42,Theta,4.654994500065053
10,ia_a,43,Theta,2.9232819991139465
10,ia_a,44,Theta,5.867526161947604
10,ia_a,45,Theta,5.55563546629372
10,ia_a,46,Theta,2.669539012965413
10,ia_a,47,Theta,3.2414118228773243
10,ia_a,48,Theta,4.073468155451749
10,ia_a,49,Theta,2.325942770104716
10,ia_a,50,Theta,5.4078142615856795
10,ia_a,51,Theta,5.421476285579969
10,ia_a,52,Theta,4.855748907052797
10,ia_a,53,Theta,3.936587406292926
10,ia_a,54,Theta,0.24360727086184403
10,ia_a,55,Theta,4.446408936231128
10,ia_a,56,Theta,3.6317030005944977
10,ia_a,57,Theta,0.31840854716331635
10,ia_a,58,Theta,0.46410967785938456
10,ia_a,59,Theta,2.4576465636231837
10,ia_a,60,Theta,5.834483542233937
10,ia_a,1,Alpha,0.9128318913990756
10,ia_a,2,Alpha,3.5322005937951033
10,ia_a,3,Alpha,5.882487217496093
10,ia_a,4,Alpha,1.0438625221919386
10,ia_a,5,Alpha,6.074385371903599
10,ia_a,6,Alpha,3.8344164034220225
10,ia_a,7,Alpha,5.548951476431536
10,ia_a,8,Alpha,4.408080920573646
10,ia_a,9,Alpha,4.206903190866386
10,ia_a,10,Alpha,1.2691953728602428
10,ia_a,11,Alpha,5.153537362749487
10,ia_a,12,Alpha,6.274798596670416
10,ia_a,13,Alpha,0.4444781343432653
10,ia_a,14,Alpha,4.8883546812853425
10,ia_a,15,Alpha,5.210756965897917
10,ia_a,16,Alpha,6.020583491812191
10,ia_a,17,Alpha,6.234921372388664
10,ia_a,18,Alpha,4.245812956248198
10,ia_a,19,Alpha,5.859871700654936
10,ia_a,20,Alpha,2.0810883826265005
10,ia_a,21,Alpha,4.161949227834938
10,ia_a,22,Alpha,1.1449170295095907
10,ia_a,23,Alpha,2.0250423662829724
10,ia_a,24,Alpha,5.936605634102107
10,ia_a,25,Alpha,5.6579017935022655
10,ia_a,26,Alpha,1.930180580047617
10,ia_a,27,Alpha,1.9870534351892943
10,ia_a,28,Alpha,0.21213445940691836
10,ia_a,29,Alpha,0.24204091090591104
10,ia_a,30,Alpha,1.0855538392511286
10,ia_a,31,Alpha,4.740810561990646
10,ia_a,32,Alpha,3.394969886724507
10,ia_a,33,Alpha,0.22418592120420952
10,ia_a,34,Alpha,0.5965118460606766
10,ia_a,35,Alpha,1.7390581000464527
10,ia_a,36,Alpha,1.2795100885355741
10,ia_a,37,Alpha,5.4333275429908445
10,ia_a,38,Alpha,1.4748212754790064
10,ia_a,39,Alpha,0.41488991686271254
10,ia_a,40,Alpha,3.8722762363075467
10,ia_a,41,Alpha,0.02796747793899681
10,ia_a,42,Alpha,3.5970049563196707
10,ia_a,43,Alpha,2.602753097186737
10,ia_a,44,Alpha,5.101067263615338
10,ia_a,45,Alpha,0.03524697489525845
10,ia_a,46,Alpha,4.241185875906478
10,ia_a,47,Alpha,2.6518106831322426
10,ia_a,48,Alpha,2.4021124387336137
10,ia_a,49,Alpha,1.1000418331325683
10,ia_a,50,Alpha,5.089191914922618
10,ia_a,51,Alpha,4.034374738867825
10,ia_a,52,Alpha,4.816123278229318
10,ia_a,53,Alpha,3.259057872328945
10,ia_a,54,Alpha,0.2298520997970476
10,ia_a,55,Alpha,0.7528067083724184
10,ia_a,56,Alpha,4.414392116775652
10,ia_a,57,Alpha,0.43742890873174756
10,ia_a,58,Alpha,0.48129878291487327
10,ia_a,59,Alpha,2.5426845429427023
10,ia_a,60,Alpha,5.542890583885755
10,ia_a,1,Beta,1.6202552186725452
10,ia_a,2,Beta,6.232552601675829
10,ia_a,3,Beta,2.906863721135586
10,ia_a,4,Beta,0.49956586094303007
10,ia_a,5,Beta,1.8809681622952168
10,ia_a,6,Beta,4.116261079091855
