subject,condition,trial,band,angle_rad
10,a50_an,1,Delta,1.6588994260890417
10,a50_an,2,Delta,1.0778610053251414
10,a50_an,3,Delta,2.5178581220611465
10,a50_an,4,Delta,3.4974918826128927
10,a50_an,5,Delta,3.9954058335048184
10,a50_an,6,Delta,1.6938787092542644
10,a50_an,7,Delta,1.0980157750074304
10,a50_an,8,Delta,3.403561001318443
10,a50_an,9,Delta,0.4859079584599624
10,a50_an,10,Delta,1.7011228935499394
10,a50_an,11,Delta,1.6368046560699372
10,a50_an,12,Delta,3.3806493498578596
10,a50_an,13,Delta,5.960174800838022
10,a50_an,14,Delta,0.013960775689101389
10,a50_an,15,Delta,2.379629744527016
10,a50_an,16,Delta,1.9022245013941501
10,a50_an,17,Delta,4.728668981605028
10,a50_an,18,Delta,2.4610672148133514
10,a50_an,19,Delta,0.24090500117119346
10,a50_an,20,Delta,4.318960070018995
10,a50_an,21,Delta,2.026238020790346
10,a50_an,22,Delta,5.029780568655126
10,a50_an,23,Delta,1.6838474967443664
10,a50_an,24,Delta,1.914814387543956
10,a50_an,25,Delta,2.4678692546735177
10,a50_an,26,Delta,4.923521834324172
10,a50_an,27,Delta,0.9417591637594301
10,a50_an,28,Delta,4.03657636522362
10,a50_an,29,Delta,5.1520142549382815
10,a50_an,30,Delta,6.0834994104677325
10,a50_an,1,Theta,1.1373460264178594
10,a50_an,2,Theta,0.8637954638437372
10,a50_an,3,Theta,2.8049285845330307
10,a50_an,4,Theta,3.58161946169829
10,a50_an,5,Theta,2.569557225512728
10,a50_an,6,Theta,1.617096207007124
10,a50_an,7,Theta,0.22562933313071237
10,a50_an,8,Theta,2.701877133281344
10,a50_an,9,Theta,6.0005023488911675
10,a50_an,10,Theta,3.24654272994645
10,a50_an,11,Theta,5.648397182499394
10,a50_an,12,Theta,2.9726517555877785
10,a50_an,13,Theta,6.14340238857271
10,a50_an,14,Theta,4.316145965232117
10,a50_an,15,Theta,2.821142233929637
10,a50_an,16,Theta,2.7095663999885833
10,a50_an,17,Theta,4.387333602150644
10,a50_an,18,Theta,3.3934491996703637
10,a50_an,19,Theta,0.20885587800493477
10,a50_an,20,Theta,4.967879793317211
10,a50_an,21,Theta,3.1971128878910235
10,a50_an,22,Theta,4.90574238554412
10,a50_an,23,Theta,3.9862043451829314
10,a50_an,24,Theta,2.741627581446672
10,a50_an,25,Theta,2.1233314464067075
10,a50_an,26,Theta,4.710079702828649
10,a50_an,27,Theta,1.1689425894060006
10,a50_an,28,Theta,3.49542479865079
10,a50_an,29,Theta,5.305838265512757
10,a50_an,30,Theta,5.174926440327167
10,a50_an,1,Alpha,4.4237920139900115
10,a50_an,2,Alpha,5.536066660064332
10,a50_an,3,Alpha,1.9305239458243126
10,a50_an,4,Alpha,4.56284439190857
10,a50_an,5,Alpha,2.9719847968898967
10,a50_an,6,Alpha,1.565935140108395
10,a50_an,7,Alpha,5.45631217924935
10,a50_an,8,Alpha,4.794362726805355
10,a50_an,9,Alpha,4.050820476900954
10,a50_an,10,Alpha,0.6139334507376267
10,a50_an,11,Alpha,2.18791754713747
10,a50_an,12,Alpha,6.004077880391452
10,a50_an,13,Alpha,3.7517629469457514
10,a50_an,14,Alpha,1.5642607350987803
10,a50_an,15,Alpha,2.1720327603509375
10,a50_an,16,Alpha,3.278793240291099
10,a50_an,17,Alpha,5.775700445764995
10,a50_an,18,Alpha,2.9441248981253394
10,a50_an,19,Alpha,3.7936989045842
10,a50_an,20,Alpha,4.524110279394796
10,a50_an,21,Alpha,1.0227548051917108
10,a50_an,22,Alpha,4.681470165251097
10,a50_an,23,Alpha,3.6393878391337133
10,a50_an,24,Alpha,3.4512256361149074
10,a50_an,25,Alpha,4.52403208368186
10,a50_an,26,Alpha,4.511416688056696
10,a50_an,27,Alpha,3.870314148360569
10,a50_an,28,Alpha,4.68800937221765
10,a50_an,29,Alpha,4.621866759436568
10,a50_an,30,Alpha,2.1388105251246894
10,a50_an,1,Beta,1.8039755220039613
10,a50_an,2,Beta,3.773349046545604
10,a50_an,3,Beta,1.533063644489092
10,a50_an,4,Beta,2.087956918015272
10,a50_an,5,Beta,4.185625050682617
10,a50_an,6,Beta,4.3957127451661995
10,a50_an,7,Beta,4.696090743480753
10,a50_an,8,Beta,4.573553873855271
10,a50_an,9,Beta,4.657931611673855
10,a50_an,10,Beta,6.105148511999186
10,a50_an,11,Beta,2.7098415260112994
10,a50_an,12,Beta,3.1098343601246006
10,a50_an,13,Beta,4.059000151559762
10,a50_an,14,Beta,3.0615048887300125
10,a50_an,15,Beta,3.146239523613085
10,a50_an,16,Beta,4.32454172482684
10,a50_an,17,Beta,1.1305357137422691
10,a50_an,18,Beta,1.606337352505801
10,a50_an,19,Beta,2.015973131149227
10,a50_an,20,Beta,3.8104066495698374
10,a50_an,21,Beta,0.2915714282765896
10,a50_an,22,Beta,4.571039772486523
10,a50_an,23,Beta,2.831807532798303
10,a50_an,24,Beta,3.5386395483429913
10,a50_an,25,Beta,0.8186303508641731
10,a50_an,26,Beta,4.528544366449896
10,a50_an,27,Beta,4.247437397250934
10,a50_an,28,Beta,2.901541360201752
10,a50_an,29,Beta,0.8029914082528691
10,a50_an,30,Beta,2.5881103870041553
10,a75_an,1,Delta,2.8461481042625656
10,a75_an,2,Delta,5.247642888397708
10,a75_an,3,Delta,2.908694337624884
10,a75_an,4,Delta,1.45027196672829
10,a75_an,5,Delta,3.802340005856941
10,a75_an,6,Delta,5.265568861150928
10,a75_an,7,Delta,0.6455704340610043
10,a75_an,8,Delta,4.6415367286733495
10,a75_an,9,Delta,1.787144937333006
10,a75_an,10,Delta,1.9529072057628711
10,a75_an,11,Delta,3.894447047956799
10,a75_an,12,Delta,2.163802347729315
10,a75_an,13,Delta,2.299052556508093
10,a75_an,15,Delta,3.403827384746256
10,a75_an,1,Theta,4.1562646846705835
10,a75_an,2,Theta,0.10408092897546285
10,a75_an,3,Theta,2.6886802804149728
10,a75_an,4,Theta,3.069130756933422
10,a75_an,5,Theta,3.7969544476337362
10,a75_an,6,Theta,5.49747030438052
10,a75_an,7,Theta,0.5784713806989825
10,a75_an,8,Theta,5.481889129753375
10,a75_an,9,Theta,3.02340712741345
10,a75_an,10,Theta,1.8414077134259443
10,a75_an,11,Theta,4.270148756766496
10,a75_an,12,Theta,2.7400281996697324
10,a75_an,13,Theta,2.775283343880036
10,a75_an,15,Theta,3.0853897829923693
10,a75_an,1,Alpha,4.6047032153124885
10,a75_an,2,Alpha,2.0517333979832095
10,a75_an,3,Alpha,3.4297311192487396
10,a75_an,4,Alpha,6.204438535718491
10,a75_an,5,Alpha,1.303420933684095
10,a75_an,6,Alpha,0.43176175030601777
10,a75_an,7,Alpha,2.4724421729831985
10,a75_an,8,Alpha,1.2663218052318428
10,a75_an,9,Alpha,4.226016178702183
10,a75_an,10,Alpha,2.93878426818293
10,a75_an,11,Alpha,1.5573860005154625
10,a75_an,12,Alpha,4.001159278924622
10,a75_an,13,Alpha,1.9317750218719623
10,a75_an,15,Alpha,2.958130554978712
10,a75_an,1,Beta,4.738863209980286
10,a75_an,2,Beta,2.7184220097643546
10,a75_an,3,Beta,5.214970827966967
10,a75_an,4,Beta,1.5431955662868073
10,a75_an,5,Beta,0.32167518857820737
10,a75_an,6,Beta,2.119144175213214
10,a75_an,7,Beta,4.584384891124728
10,a75_an,8,Beta,1.997929165066246
10,a75_an,9,Beta,4.319907298498
10,a75_an,10,Beta,1.8505629985162495
10,a75_an,11,Beta,4.96646075879411
