subject,condition,trial,band,angle_rad
10,a50_ay,1,Delta,1.0182265676795472
10,a50_ay,2,Delta,0.5301534955173164
10,a50_ay,3,Delta,4.658207628981969
10,a50_ay,4,Delta,0.1438004445114888
10,a50_ay,5,Delta,3.002482249194316
10,a50_ay,6,Delta,3.840178214568894
10,a50_ay,7,Delta,5.387773046377122
10,a50_ay,8,Delta,4.6291023562559905
10,a50_ay,9,Delta,1.7586784416981673
10,a50_ay,10,Delta,4.279162784691242
10,a50_ay,11,Delta,4.158793360595124
10,a50_ay,12,Delta,4.58474248247664
10,a50_ay,13,Delta,4.628870456982315
10,a50_ay,14,Delta,1.350263785638644
10,a50_ay,15,Delta,4.6179715167845234
10,a50_ay,16,Delta,0.2711500477231369
10,a50_ay,17,Delta,1.6113164048930548
10,a50_ay,18,Delta,5.359149803380946
10,a50_ay,19,Delta,2.1808488259534027
10,a50_ay,20,Delta,5.682986460137963
10,a50_ay,21,Delta,4.798864931814961
10,a50_ay,22,Delta,0.3572621415501148
10,a50_ay,23,Delta,3.6175883763530425
10,a50_ay,24,Delta,1.0834372852835261
10,a50_ay,25,Delta,4.712041268403553
10,a50_ay,26,Delta,5.170577606069733
10,a50_ay,27,Delta,2.2574136223711205
10,a50_ay,28,Delta,2.3892534117263247
10,a50_ay,29,Delta,4.98526354886115
10,a50_ay,30,Delta,1.9933976871616372
10,a50_ay,1,Theta,4.084038745643653
10,a50_ay,2,Theta,4.057907414480663
10,a50_ay,3,Theta,4.115893095466241
10,a50_ay,4,Theta,4.739906980045553
10,a50_ay,5,Theta,2.9239247498379335
10,a50_ay,6,Theta,3.695130142726012
10,a50_ay,7,Theta,4.348870127073951
10,a50_ay,8,Theta,4.274474395224792
10,a50_ay,9,Theta,3.612054955528009
10,a50_ay,10,Theta,3.8880277300997172
10,a50_ay,11,Theta,3.982493419761569
10,a50_ay,12,Theta,3.880165176194443
10,a50_ay,13,Theta,4.299175946397086
10,a50_ay,14,Theta,4.91666610154235
10,a50_ay,15,Theta,4.1023672850970065
10,a50_ay,16,Theta,3.9132450005857513
10,a50_ay,17,Theta,3.9064652852646975
10,a50_ay,18,Theta,3.9294587134329055
10,a50_ay,19,Theta,3.741359247771451
10,a50_ay,20,Theta,4.549327673084737
10,a50_ay,21,Theta,4.205797037852747
10,a50_ay,22,Theta,4.390236164472069
10,a50_ay,23,Theta,4.38266287144695
10,a50_ay,24,Theta,2.9728865946692746
10,a50_ay,25,Theta,4.088065761768979
10,a50_ay,26,Theta,4.5467427853796885
10,a50_ay,27,Theta,3.024790685994372
10,a50_ay,28,Theta,3.276606779924373
10,a50_ay,29,Theta,4.116935113639952
10,a50_ay,30,Theta,3.3980876055159093
10,a50_ay,1,Alpha,4.271724006386174
10,a50_ay,2,Alpha,3.853222279718105
10,a50_ay,3,Alpha,4.558564024162284
10,a50_ay,4,Alpha,4.5883898038134125
10,a50_ay,5,Alpha,4.318371165803994
10,a50_ay,6,Alpha,4.129412460728075
10,a50_ay,7,Alpha,4.653418282305478
10,a50_ay,8,Alpha,4.693710354112745
10,a50_ay,9,Alpha,4.071486169335785
10,a50_ay,10,Alpha,3.6991627385310584
10,a50_ay,11,Alpha,3.9049872588618917
10,a50_ay,12,Alpha,3.9465966851618512
10,a50_ay,13,Alpha,4.289487950369011
10,a50_ay,14,Alpha,4.285109984063341
10,a50_ay,15,Alpha,4.593141335348102
10,a50_ay,16,Alpha,3.651743582693121
10,a50_ay,17,Alpha,3.8272610117684356
10,a50_ay,18,Alpha,3.71156625264714
10,a50_ay,19,Alpha,4.061980780159528
10,a50_ay,20,Alpha,3.522733587520811
10,a50_ay,21,Alpha,4.151321031284285
10,a50_ay,22,Alpha,4.206309600025696
10,a50_ay,23,Alpha,4.5425437686048395
10,a50_ay,24,Alpha,3.511598698037341
10,a50_ay,25,Alpha,4.1956372105704025
10,a50_ay,26,Alpha,4.776094279289958
10,a50_ay,27,Alpha,3.682071426910571
10,a50_ay,28,Alpha,3.5380083337553385
10,a50_ay,29,Alpha,4.145037833482776
10,a50_ay,30,Alpha,4.253657247248404
10,a50_ay,1,Beta,4.468096331667044
10,a50_ay,2,Beta,3.702815337663194
10,a50_ay,3,Beta,5.532334492091994
10,a50_ay,4,Beta,5.283727939663766
10,a50_ay,5,Beta,4.653401876815166
10,a50_ay,6,Beta,3.462009690640466
10,a50_ay,7,Beta,5.651044025747454
10,a50_ay,8,Beta,4.370297249848474
10,a50_ay,9,Beta,4.856226755100603
10,a50_ay,10,Beta,3.765693335247825
10,a50_ay,11,Beta,4.415314649029501
10,a50_ay,12,Beta,3.903190816271341
10,a50_ay,13,Beta,4.46774542375199
10,a50_ay,14,Beta,3.0107442172072343
10,a50_ay,15,Beta,3.785822066188641
10,a50_ay,16,Beta,4.034754047260408
10,a50_ay,17,Beta,4.072896219244518
10,a50_ay,18,Beta,4.048352436389525
10,a50_ay,19,Beta,4.826904676559162
10,a50_ay,20,Beta,4.161580388464814
10,a50_ay,21,Beta,4.476664174549272
10,a50_ay,22,Beta,4.677564745435647
10,a50_ay,23,Beta,5.427932175024722
10,a50_ay,24,Beta,4.0247522469370995
10,a50_ay,25,Beta,4.989697175211232
10,a50_ay,26,Beta,5.692689038943378
10,a50_ay,27,Beta,4.531001456574332
10,a50_ay,28,Beta,3.829448539678382
10,a50_ay,29,Beta,4.965663555825627
10,a50_ay,30,Beta,5.761126559262605
10,a50_an,1,Delta,6.0303897817229855
10,a50_an,2,Delta,6.011923414541163
10,a50_an,3,Delta,4.714978564862421
10,a50_an,4,Delta,5.3291016790931955
10,a50_an,5,Delta,4.862646272269341
10,a50_an,6,Delta,4.55102651951055
10,a50_an,7,Delta,1.9670839544534513
10,a50_an,8,Delta,1.6698667220958383
10,a50_an,9,Delta,4.759205292053304
10,a50_an,10,Delta,4.564379759107792
10,a50_an,11,Delta,5.805464913761849
10,a50_an,12,Delta,5.326391929374436
10,a50_an,13,Delta,5.453985516695213
10,a50_an,14,Delta,1.0127973386410563
10,a50_an,15,Delta,0.19821697611894454
10,a50_an,16,Delta,5.0260101804572255
10,a50_an,17,Delta,4.460517982330671
10,a50_an,18,Delta,0.283141081260498
10,a50_an,19,Delta,5.250651606699559
10,a50_an,20,Delta,6.057155751509346
10,a50_an,21,Delta,3.2000887795256365
10,a50_an,22,Delta,0.6075393954393835
10,a50_an,23,Delta,5.163024404058842
10,a50_an,24,Delta,4.310668811045966
10,a50_an,25,Delta,3.9408114989796488
10,a50_an,26,Delta,6.162205598007932
10,a50_an,27,Delta,4.986758387985895
10,a50_an,28,Delta,1.373512956008096
10,a50_an,29,Delta,1.1966058857374928
10,a50_an,30,Delta,3.0138245077159778
10,a50_an,1,Theta,4.6650613137521475
10,a50_an,2,Theta,5.419757131335879
10,a50_an,3,Theta,4.262152722206259
10,a50_an,4,Theta,1.461084609738637
10,a50_an,5,Theta,0.4476292737561532
10,a50_an,6,Theta,5.5579580804611535
10,a50_an,7,Theta,0.17119394275838165
10,a50_an,8,Theta,2.3835230823908233
10,a50_an,9,Theta,5.320914799797438
10,a50_an,10,Theta,4.9173195677699555
10,a50_an,11,Theta,5.839090861211653
10,a50_an,12,Theta,6.280827922920598
10,a50_an,13,Theta,0.45861091022242867
10,a50_an,14,Theta,0.5175447470922921
10,a50_an,15,Theta,2.304212070216199
10,a50_an,16,Theta,0.24217151630891945
10,a50_an,17,Theta,6.2047204662106425
10,a50_an,18,Theta,5.589114132706083
10,a50_an,19,Theta,5.809239556047949
10,a50_an,20,Theta,5.830181609050085
10,a50_an,21,Theta,3.5567651701123246
10,a50_an,22,Theta,3.002336917491202
10,a50_an,23,Theta,5.342772972892698
10,a50_an,24,Theta,4.830464340866877
10,a50_an,25,Theta,2.8590734868111656
10,a50_an,26,Theta,0.775725894891045
10,a50_an,27,Theta,4.788111003921774
10,a50_an,28,Theta,1.1118781374455846
10,a50_an,29,Theta,0.7953537269912929
10,a50_an,30,Theta,4.158059061984099
10,a50_an,1,Alpha,5.350579708498315
10,a50_an,2,Alpha,4.478319613184327
10,a50_an,3,Alpha,2.029131454010388
10,a50_an,4,Alpha,3.4070197595741742
10,a50_an,5,Alpha,5.65415814025533
10,a50_an,6,Alpha,4.76956542180051
10,a50_an,7,Alpha,4.741518612977844
10,a50_an,8,Alpha,2.470655999236138
10,a50_an,9,Alpha,5.649324657846363
10,a50_an,10,Alpha,4.92621745848064
10,a50_an,11,Alpha,5.740572374836544
10,a50_an,12,Alpha,2.178454257895902
10,a50_an,13,Alpha,6.025562031709566
10,a50_an,14,Alpha,4.525163779554087
10,a50_an,15,Alpha,2.744719893412477
10,a50_an,16,Alpha,3.20760296575572
10,a50_an,17,Alpha,5.509960472416702
10,a50_an,18,Alpha,4.601234242344687
10,a50_an,19,Alpha,5.792778493478993
10,a50_an,20,Alpha,4.353529004470087
10,a50_an,21,Alpha,2.8432704388737724
10,a50_an,22,Alpha,2.286375375674532
10,a50_an,23,Alpha,5.097836341849435
10,a50_an,24,Alpha,5.161671280191337
10,a50_an,25,Alpha,6.280353337404143
10,a50_an,26,Alpha,5.950122991050398
10,a50_an,27,Alpha,2.700035668104328
10,a50_an,28,Alpha,5.971549855832613
10,a50_an,29,Alpha,0.36255443946378285
10,a50_an,30,Alpha,0.3576914067661847
10,a50_an,1,Beta,0.600902119530362
10,a50_an,2,Beta,4.874223014711346
10,a50_an,3,Beta,2.7398076649263716
10,a50_an,4,Beta,4.292735665330852
10,a50_an,5,Beta,1.3686353578130075
10,a50_an,6,Beta,0.9582238310673346
10,a50_an,7,Beta,1.3880336131259885
10,a50_an,8,Beta,6.277414958897199
10,a50_an,9,Beta,5.8672571519833125
10,a50_an,10,Beta,3.969199563591265
10,a50_an,11,Beta,0.5517838092044015
10,a50_an,12,Beta,3.243095094335123
10,a50_an,13,Beta,5.749256853026562
10,a50_an,14,Beta,4.184449084440862
10,a50_an,15,Beta,1.5125526808293128
10,a50_an,16,Beta,4.3407372051904725
10,a50_an,17,Beta,6.030705404783009
10,a50_an,18,Beta,3.2314182178877933
10,a50_an,19,Beta,3.6651948916376593
10,a50_an,20,Beta,4.68236349544178
10,a50_an,21,Beta,5.641903788048771
10,a50_an,22,Beta,0.37174002993098476
10,a50_an,23,Beta,4.544534212831744
10,a50_an,24,Beta,5.379244995860009
10,a50_an,25,Beta,0.15460432453015896
10,a50_an,26,Beta,4.338486756033319
10,a50_an,27,Beta,1.6488554867322762
10,a50_an,28,Beta,2.521479804540925
10,a50_an,29,Beta,5.80033797179847
10,a50_an,30,Beta,1.6342562329996693
11,a50_ay,1,Delta,1.3722057294886891
11,a50_ay,2,Delta,4.127217234315243
11,a50_ay,3,Delta,4.4682939650620375
11,a50_ay,4,Delta,4.806017465388176
11,a50_ay,5,Delta,4.089203359683911
