subject,label,condition,trial,band,angle_rad
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,1,Delta,5.875365406412901
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,2,Delta,1.4146414784317518
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,3,Delta,4.565236346490758
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,4,Delta,5.445584841474891
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,5,Delta,5.4651901085117025
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,6,Delta,4.439341016442423
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,7,Delta,2.9829157719996964
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,8,Delta,1.386927766172531
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,9,Delta,0.4926176870523048
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,10,Delta,5.4931382088052
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,11,Delta,1.2407043071011252
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,12,Delta,1.9389109796591526
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,13,Delta,5.49155208491389
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,14,Delta,5.16869567625164
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,15,Delta,3.415771947210413
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,16,Delta,4.796908022199856
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,17,Delta,5.204831367937668
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,18,Delta,1.1766475321609224
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,19,Delta,2.6142088392896987
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,20,Delta,0.29677350949843523
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,21,Delta,4.423579577907309
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,22,Delta,1.890551900195553
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,23,Delta,4.114128399728302
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,24,Delta,0.12318463359485264
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,25,Delta,4.732820238417727
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,26,Delta,1.9067602004639275
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,27,Delta,5.257629454595723
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,28,Delta,4.982816934611824
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,29,Delta,1.3889202352936028
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,30,Delta,1.1733531745461998
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,31,Delta,1.9562483771861479
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,32,Delta,5.077133976401842
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,33,Delta,1.2632574643069643
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,34,Delta,2.529902904775067
2,chan83-chan84,Involuntary_OutcomeOnsetReportSound,35,Delta,4.4575250242953635
