region,time_window,lower,upper,coef
AG-R,10,70,80,-5.693875479789768
AG-R,10,80,90,-4.861630795660424
AG-R,10,430,440,0.1803593420837845
AG-R,10,440,450,0.0679539929507467
AG-R,10,450,460,1.1342218482541033
AG-R,10,460,470,0.7937628969491441
AG-R,10,470,480,0.15725632845893162
AG-R,10,500,510,0.3142922627425948
AG-R,10,510,520,0.6502884589661292
AG-R,10,520,530,0.8515706023263361
AG-R,10,530,540,0.015845268893672146
AG-R,10,540,550,0.008604769762714248
AG-R,10,550,560,0.08726331152276973
AG-R,10,670,680,0.011585144375402544
AG-R,10,1120,1130,0.31364518114771683
AG-R,10,1220,1230,1.0038262250126342
AG-R,20,60,80,-2.5073333647744658
AG-R,20,80,100,-1.4061772435795346
AG-R,20,420,440,0.02961892717466792
AG-R,20,440,460,0.6879710689817825
AG-R,20,460,480,0.5179197145367174
AG-R,20,480,500,0.12042954155180907
AG-R,20,500,520,0.48332466748564823
AG-R,20,520,540,0.4795942852376411
AG-R,20,540,560,0.1702655759739416
AG-R,40,440,480,0.3606085671134032
AG-R,40,480,520,0.007893908015505227
AG-R,40,520,560,0.11678503969286722
DLPFC-R,10,90,100,-0.6511841887958875
DLPFC-R,10,540,550,-0.4172397149244401
DLPFC-R,10,550,560,-0.9845095886921416
DLPFC-R,10,560,570,-0.7947329182298171
DLPFC-R,10,570,580,-0.032045541885152296
DLPFC-R,10,580,590,-0.015043143595744267
DLPFC-R,10,590,600,-0.767367983388712
DLPFC-R,10,600,610,-0.8497068361888421
DLPFC-R,10,630,640,-0.020719804663449266
DLPFC-R,10,640,650,-0.022960938306019807
DLPFC-R,10,770,780,-1.115013912272693
DLPFC-R,10,1430,1440,-0.1921990985039246
DLPFC-R,10,1440,1450,-0.5759006428962964
DLPFC-R,20,540,560,-1.5761886105368375
DLPFC-R,20,560,580,-0.9339483596890259
DLPFC-R,20,580,600,-1.196812086644449
DLPFC-R,20,600,620,-0.06131858666915341
DLPFC-R,20,760,780,-1.1543263972654645
DLPFC-R,20,1440,1460,-0.34390285202754783
DLPFC-R,40,560,600,-0.6337381179245131
DLPFC-R,40,600,640,-0.3353183558641608
DLPFC-R,40,640,680,-0.01183114699830953
DLPFC-R,40,720,760,-0.036504302670797344
DLPFC-R,40,760,800,-0.24367240202121213
DLPFC-R,40,1440,1480,-0.4818694157868062
Precuneus-R,10,120,130,0.5200368984629156
Precuneus-R,10,240,250,1.195247102562651
Precuneus-R,10,250,260,1.8555583911739584
Precuneus-R,10,260,270,1.8278841165346467
Precuneus-R,10,270,280,0.16927317405787798
Precuneus-R,10,290,300,1.5789740359265307
Precuneus-R,10,300,310,1.443583578124342
Precuneus-R,10,310,320,0.01138077152195152
Precuneus-R,10,330,340,0.017006332474711183
Precuneus-R,10,340,350,1.5840299387931314
Precuneus-R,10,350,360,0.37839292650497025
Precuneus-R,20,240,260,2.4897020344895537
Precuneus-R,20,260,280,0.003743116680763641
Precuneus-R,20,280,300,0.22617918717064744
Precuneus-R,20,300,320,0.04523028102283373
Precuneus-R,20,340,360,0.6396544722817782
Precuneus-R,40,240,280,2.498264613940874
Precuneus-R,40,280,320,1.7035791618536194
Precuneus-R,40,320,360,0.0025235165083944827
