region,time_window,lower,upper,coef
MTG-R,10,580,590,-0.36306554610168074
MTG-R,10,660,670,-1.2756135755098672
MTG-R,10,770,780,-1.081543777865961
MTG-R,10,780,790,-2.1917690555427582
MTG-R,10,790,800,-0.9845324459946514
MTG-R,10,800,810,-0.36027469355969977
MTG-R,10,810,820,-0.4528759441997671
MTG-R,10,820,830,-0.0028142397968194464
MTG-R,10,840,850,-0.28156499418367015
MTG-R,20,580,600,-0.07875477643067094
MTG-R,20,660,680,-0.5141474126834786
MTG-R,20,760,780,-0.3324952744585858
MTG-R,20,780,800,-0.7927674641958988
MTG-R,20,800,820,-0.21456355014923686
MTG-R,20,820,840,-0.012408087341339281
MTG-R,20,840,860,-0.12809820453365206
MTG-R,40,480,520,-0.0074763530438795595
MTG-R,40,520,560,-0.010817668230677273
MTG-R,40,560,600,-0.10612905831915337
MTG-R,40,640,680,-0.11071407670009943
MTG-R,40,720,760,-8.567575719688478e-4
MTG-R,40,760,800,-0.25889392981284937
MTG-R,40,800,840,-0.12363278552992694
Postcentral-L,10,200,210,0.43581763442402827
Postcentral-L,10,210,220,0.019949859269455465
Postcentral-L,10,230,240,1.0154821315824794
Postcentral-L,10,240,250,0.6821553125847235
Postcentral-L,10,270,280,0.6337583814916931
Postcentral-L,10,280,290,1.1775741329451999
Postcentral-L,10,290,300,0.25566496223530283
Postcentral-L,10,790,800,0.05038407240297224
Postcentral-L,10,890,900,0.4015859481243208
Postcentral-L,10,900,910,0.19207880501292598
Postcentral-L,20,200,220,0.6990830907286733
Postcentral-L,20,220,240,0.8213814443287044
Postcentral-L,20,260,280,0.008260349747894092
Postcentral-L,20,280,300,1.0856315324456962
Postcentral-L,20,780,800,0.19228074458849226
Postcentral-L,20,880,900,0.4090778244259306
Postcentral-L,20,900,920,0.12653543715914822
Postcentral-L,40,200,240,3.1267519034846516
Postcentral-L,40,280,320,0.39874000979165647
Postcentral-L,40,320,360,-0.07009786650607261
Postcentral-L,40,880,920,0.13919551815280906
