source,target,tau,gpdc_value,p_value
AGR,AGR,1,0.7984540838971936,0.0
AGR,AGR,2,0.6688172172030215,0.0
AGR,AGR,3,0.3669352993176881,0.008
AGR,AGR,4,0.15657808605394574,0.94
AGR,AGR,5,0.18386035543393503,0.718
AGR,DLPFCR,1,0.4562620535575119,0.002
AGR,DLPFCR,2,0.32471857491482503,0.038
AGR,DLPFCR,3,0.16785827170385273,0.88
AGR,DLPFCR,4,0.28361327288382765,0.122
AGR,DLPFCR,5,0.16423690615681408,0.902
AGR,PrecuneusR,1,0.19278851988732687,0.632
AGR,PrecuneusR,2,0.16895849494267712,0.872
AGR,PrecuneusR,3,0.1711326795395044,0.85
AGR,PrecuneusR,4,0.20806786394741858,0.47
AGR,PrecuneusR,5,0.20905834373191917,0.462
DLPFCR,AGR,1,0.25127174506323563,0.21
DLPFCR,AGR,2,0.20254076185433068,0.516
DLPFCR,AGR,3,0.17284235086186708,0.838
DLPFCR,AGR,4,0.19501128145974214,0.598
DLPFCR,AGR,5,0.2980034289864738,0.076
DLPFCR,DLPFCR,1,0.7779414643699417,0.0
DLPFCR,DLPFCR,2,0.7147411329926004,0.0
DLPFCR,DLPFCR,3,0.5097745417768551,0.0
DLPFCR,DLPFCR,4,0.19025574110505444,0.654
DLPFCR,DLPFCR,5,0.42097651955171533,0.006
DLPFCR,PrecuneusR,1,0.33898745678143166,0.024
DLPFCR,PrecuneusR,2,0.17593578355175982,0.796
DLPFCR,PrecuneusR,3,0.17710930483759119,0.786
DLPFCR,PrecuneusR,4,0.2546621909237766,0.2
DLPFCR,PrecuneusR,5,0.19671964582159193,0.582
PrecuneusR,AGR,1,0.25007233123519385,0.216
PrecuneusR,AGR,2,0.25383837802988685,0.206
PrecuneusR,AGR,3,0.20627357329595739,0.494
PrecuneusR,AGR,4,0.20695451146346153,0.488
PrecuneusR,AGR,5,0.17802477616065937,0.774
PrecuneusR,DLPFCR,1,0.1790577233359439,0.764
PrecuneusR,DLPFCR,2,0.1800320155523147,0.764
PrecuneusR,DLPFCR,3,0.19016498502509,0.656
PrecuneusR,DLPFCR,4,0.17394578410581604,0.824
PrecuneusR,DLPFCR,5,0.1620092580645313,0.902
PrecuneusR,PrecuneusR,1,0.6812424360200027,0.0
PrecuneusR,PrecuneusR,2,0.7607678255719512,0.0
PrecuneusR,PrecuneusR,3,0.7065129347739459,0.0
PrecuneusR,PrecuneusR,4,0.41121731847382725,0.006
PrecuneusR,PrecuneusR,5,0.3458455057785764,0.016
