source,target,tau,gpdc_value,p_value
PreSMAL,PreSMAL,1,0.7799336056604564,0.0
PreSMAL,PreSMAL,2,0.7161838560551705,0.0
PreSMAL,PreSMAL,3,0.4952183108321805,0.004
PreSMAL,PreSMAR,1,0.24214412914438027,0.586
PreSMAL,PreSMAR,2,0.18760512990249065,0.954
PreSMAL,PreSMAR,3,0.26671618323030544,0.4
PreSMAL,SMAR,1,0.2519843773509234,0.492
PreSMAL,SMAR,2,0.2802811859725056,0.312
PreSMAL,SMAR,3,0.2917189909137538,0.274
PreSMAR,PreSMAL,1,0.2218856495045349,0.76
PreSMAR,PreSMAL,2,0.3428919862607296,0.128
PreSMAR,PreSMAL,3,0.20754341328885925,0.874
PreSMAR,PreSMAR,1,0.823430330539743,0.0
PreSMAR,PreSMAR,2,0.6529395110798412,0.0
PreSMAR,PreSMAR,3,0.5740261725767012,0.0
PreSMAR,SMAR,1,0.46919795431881794,0.004
PreSMAR,SMAR,2,0.3069718143328758,0.226
PreSMAR,SMAR,3,0.30819277906855436,0.214
SMAR,PreSMAL,1,0.21972832695150613,0.772
SMAR,PreSMAL,2,0.28816043615820414,0.288
SMAR,PreSMAL,3,0.549142452839753,0.0
SMAR,PreSMAR,1,0.2156423663639966,0.806
SMAR,PreSMAR,2,0.5306022941087355,0.0
SMAR,PreSMAR,3,0.415268925800289,0.018
SMAR,SMAR,1,0.7278268805524968,0.0
SMAR,SMAR,2,0.43758723806741484,0.012
SMAR,SMAR,3,0.5623164756159039,0.0
