source,target,tau,gpdc_value,p_value
MTGR,MTGR,1,0.7784112241532812,0.0
MTGR,MTGR,2,0.6246760189845075,0.0
MTGR,MTGR,3,0.7447051030862075,0.0
MTGR,PostcentralL,1,0.13400183435989013,0.952
MTGR,PostcentralL,2,0.19257134701675283,0.4
MTGR,PostcentralL,3,0.14657007207217532,0.868
PostcentralL,MTGR,1,0.24780350546986318,0.112
PostcentralL,MTGR,2,0.27605984706552,0.066
PostcentralL,MTGR,3,0.3179230158307389,0.024
PostcentralL,PostcentralL,1,0.8441652959362437,0.0
PostcentralL,PostcentralL,2,0.7526428009657037,0.0
PostcentralL,PostcentralL,3,0.6695193947419993,0.0
