condition,feature,n,r,p,p_text
Involuntary_OutcomeOnsetReportSound,Alpha_bandPower,175,0.01802102227815186,0.8128844989946803,p = 0.813
Involuntary_OutcomeOnsetReportSound,Beta_bandPower,175,0.1186053022448174,0.11798683920609679,p = 0.118
Involuntary_OutcomeOnsetReportSound,Delta_bandPower,175,0.02135652566610945,0.7790727427722169,p = 0.779
Involuntary_OutcomeOnsetReportSound,Gamma_bandPower,175,0.14174923830105718,0.06131910084319354,p = 0.061
Involuntary_OutcomeOnsetReportSound,meanAmplitude,175,0.09599544206283317,0.20633045621405724,p = 0.206
Voluntary_OutcomeOnsetReportSound,Alpha_bandPower,172,0.184368971016907,0.01547202174706003,p = 0.015
Voluntary_OutcomeOnsetReportSound,Beta_bandPower,172,-0.04164260181498546,0.5875494495614998,p = 0.588
Voluntary_OutcomeOnsetReportSound,Delta_bandPower,172,0.14642730014387836,0.055273892292919104,p = 0.055
Voluntary_OutcomeOnsetReportSound,Gamma_bandPower,172,-0.22171094436588082,0.003467029773095016,p = 0.003
Voluntary_OutcomeOnsetReportSound,meanAmplitude,172,-0.00945876962931555,0.9019892732461635,p = 0.902
